underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol,delta,theta,gamma,vega,rho
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,10.0,P,0.02,0.02,0.02,0.02,3,0,0.0,246,0.02,17.84,17.84,0.5788580341578177,0.9403405245139852,-0.009933380227252537,-0.7452848907617625,0.0055093934270585695,0.13552113478880368,-0.01601636365412704
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,16.0,C,5.0,5.0,5.0,5.0,1,18,4.77,18,5.08,17.84,17.84,0.108854404912082,2.102351264550868,0.6924918255492033,-24.11309604141299,0.03269427513728788,1.7980223418154246,0.5976644942777157
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,17.0,P,0.53,0.53,0.46,0.46,18,2122,0.4,186,0.53,17.84,17.84,0.0482297830956471,0.4501873909771005,-0.2959449423104038,-3.957628890285832,0.15007177848853445,1.7673006885053268,-0.47185215803682695
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,25.0,C,1.6,1.6,1.6,1.6,20,1331,1.4,80,1.56,17.84,17.84,-0.3374326977163374,1.7694696928160238,0.3495197075661508,-21.086510637300975,0.040907244458767734,1.893483151053328,0.3767556003692613
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,18.0,C,3.67,3.67,3.67,3.67,10,18,3.42,22,3.69,17.84,17.84,-0.0089286307443014,1.846413884540678,0.6070632390631305,-23.176514661555156,0.040714129673245225,1.9664925395539585,0.5819092312261696
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,16.0,C,5.0,5.0,4.88,4.88,3,18,4.69,20,5.0,17.75,17.75,0.1037967936816435,2.136340355227526,0.6901704398302752,-24.42795347516751,0.03244393372438318,1.7948537012128878,0.5892504954045727
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,45.0,C,0.42,0.42,0.42,0.42,1,32,0.32,1540,0.4,17.75,17.75,-0.930276973848895,2.081980486380392,0.10768290474932135,-12.161705073512358,0.017478456563129133,0.9423339529508554,0.12122151577256816
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,42.5,C,0.4,0.4,0.4,0.4,1,35,0.36,1371,0.45,17.75,17.75,-0.8731185600089463,1.9709058321448945,0.10742260369109313,-11.507618476153587,0.018431319395268982,0.9406919005572195,0.12247286300860559
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,40.0,C,0.52,0.52,0.52,0.52,2,32,0.42,1406,0.53,17.75,17.75,-0.8124939381925116,1.9941352193243689,0.13280269782070758,-13.532055738800128,0.021155907001178965,1.0924746243912826,0.14933439814590876
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,35.0,C,0.74,0.74,0.74,0.74,5,87,0.57,42,0.69,17.75,17.75,-0.678962545567989,1.948470643475184,0.18048130620469616,-16.22847992124953,0.026508507858568443,1.3375322252451056,0.2002376510356029
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,30.0,C,0.99,0.99,0.92,0.96,6,1284,0.85,81,0.98,17.75,17.75,-0.5248118657407306,1.8298481693183803,0.2376073628284004,-18.004037712968028,0.03320285411751033,1.5733146193669707,0.26233235919689446
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,23.0,C,1.84,1.84,1.84,1.84,1,38,1.68,19,1.84,17.75,17.75,-0.2591087000077249,1.7043773842192311,0.39739042647309425,-21.14121632514914,0.04446726882789009,1.9625978729882962,0.42375083920884443
