underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol,delta,theta,gamma,vega,rho
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,45.0,P,21.7,21.7,21.7,21.7,1,2399,21.6,3250,21.9,17.84,17.84,-0.9252193626184564,,,,,,
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,25.0,C,4.7,4.7,4.7,4.7,2,5254,4.6,1420,4.8,17.84,17.84,-0.3374326977163374,1.2611643812534885,0.5819547928908325,-6.672978780998017,0.023158890497982445,5.220837098923402,2.964674709188911
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,27.0,C,4.13,4.13,4.13,4.13,1,7803,4.0,1132,4.2,17.84,17.84,-0.4143937388524658,1.2265832847997198,0.5409096883460184,-6.5819997863711395,0.024198932665701032,5.305715391051074,2.880863368641093
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,70.0,C,0.55,0.55,0.55,0.55,10,8227,0.45,7558,0.6,17.74,17.74,-1.3726732651679256,1.0982909763120952,0.12480833714093365,-2.9115621826593125,0.014082871007381956,2.733863610925546,0.8716466150343614
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,25.0,C,4.65,4.65,4.65,4.65,5,6113,4.5,2361,4.7,17.74,17.74,-0.3430538479867674,1.2620842003063537,0.5798431141148993,-6.644303661500298,0.023298161047884985,5.1973049606583235,2.94088455390384
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,27.0,C,4.1,4.1,4.1,4.1,5,8093,3.9,21,4.1,17.74,17.74,-0.4200148891228957,1.2304684334916658,0.5395153248249924,-6.562850246762805,0.024267109959735016,5.277846588265686,2.8553843417816838
^VIX,2021-04-26 11:30:00,VIX,2021-11-17,100.0,C,0.2,0.2,0.2,0.2,30,11621,0.1,11631,0.25,17.76,17.76,-1.7282214484240672,1.0863366013734568,0.053734007635641956,-1.5140390813652431,0.007553173472379064,1.4535861988922865,0.3956328651734541
^VIX,2021-04-26 12:00:00,VIX,2021-11-17,19.0,P,1.5,1.5,1.5,1.5,5,7968,1.45,32,1.55,17.79,17.79,-0.0658024774886966,0.1607405451228524,-0.4088159751904689,0.48078858264246094,0.181272492135,5.179290074543017,-4.465145729613627
^VIX,2021-04-26 14:00:00,VIX,2021-11-17,30.0,C,3.36,3.36,3.36,3.36,12,19183,3.2,305,3.4,17.78,17.78,-0.5231231515763969,1.1810673272450265,0.4796929444807095,-6.320636394244874,0.025316871203602608,5.308956874592707,2.69895064953407
^VIX,2021-04-26 14:00:00,VIX,2021-11-17,120.0,C,0.1,0.1,0.1,0.1,6,2702,0.05,20762,0.15,17.78,17.78,-1.909417512696288,1.0664951304143515,0.02996297953048049,-0.9220958385828572,0.004783116070572249,0.9057207272134389,0.22717027354192054
^VIX,2021-04-26 14:30:00,VIX,2021-11-17,40.0,C,1.92,1.92,1.92,1.92,1,4822,1.85,2581,2.0,17.79,17.79,-0.8102429524361926,1.1212723277021208,0.32948761533508586,-5.380487150298436,0.024210210903959556,4.825280557330604,2.060446710550664
^VIX,2021-04-26 14:30:00,VIX,2021-11-17,50.0,C,1.17,1.17,1.17,1.17,1,19219,1.1,532,1.25,17.79,17.79,-1.0333865037504022,1.0957577968287726,0.2288378081071678,-4.353304109136857,0.0207260461826725,4.03686219078109,1.5178582129121476
^VIX,2021-04-26 15:00:00,VIX,2021-11-17,23.0,C,5.23,5.23,5.23,5.23,10,22310,5.1,466,5.3,17.69,17.69,-0.2624947077574556,1.2967268659720643,0.6196726019154175,-6.646987860114711,0.022154057061742418,5.049151956494281,2.9899431416392663
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,19.0,P,1.55,1.55,1.55,1.55,15,4069,1.5,39,1.6,17.72,17.72,-0.0697450339895056,0.1614356962685285,-0.4217058450871009,0.5109766019957017,0.1824918540148382,5.195549492464776,-4.595708741457032
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,70.0,C,0.55,0.55,0.55,0.55,8,8027,0.45,1096,0.55,17.72,17.72,-1.3738012968724242,1.0991634876246503,0.1248490804306625,-2.911023811008209,0.014090787597805049,2.731404330271235,0.8707132329110667
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,85.0,C,0.3,0.3,0.3,0.3,1,27080,0.2,9536,0.35,17.72,17.72,-1.5679573113133816,1.078367163136202,0.07646450603444202,-1.9827961525511706,0.010031437232918418,1.9077358749915954,0.5530603422279293
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,25.0,C,4.5,4.5,4.5,4.5,2,22144,4.4,514,4.6,17.72,17.72,-0.3441818796912659,1.2356790891492413,0.5732205732665914,-6.537428986033966,0.023900777748480595,5.208421974046729,2.952099091663774
^VIX,2021-04-26 16:00:00,VIX,2021-11-17,30.0,C,3.3,3.3,3.3,3.3,2,22591,3.2,533,3.4,17.72,17.72,-0.5265034364852205,1.1747047064024043,0.47614910679149286,-6.264617836191839,0.02552760486890406,5.288435469947581,2.6825567479734533
^VIX,2021-04-26 16:15:00,VIX,2021-11-17,18.0,P,1.15,1.15,1.15,1.15,15,150,1.1,1,1.2,17.64,17.64,-0.0202027073175194,0.1970163560014453,-0.30095543168847627,0.09154116794304734,0.13368658830975438,4.603077431628841,-3.2846734135741364
