underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol,delta,theta,gamma,vega,rho
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,10.0,C,8.25,8.25,8.25,8.25,5,16,8.19,16,8.51,17.84,17.84,0.5788580341578177,6.802325283116587,0.9196969782725539,-123.4629439816217,0.01659711531659299,0.19688690794737435,0.044664191077043815
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,18.0,P,0.54,0.54,0.45,0.5,28,789,0.42,32,0.59,17.84,17.84,-0.0089286307443014,0.8626012005087265,-0.5377297827989876,-39.726452920657394,0.3486490925395527,0.5244757693355201,-0.05548158781707705
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,19.0,P,1.15,1.15,1.15,1.15,50,22,1.02,16,1.25,17.84,17.84,-0.0629958520145771,,,,,,
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,20.0,C,0.34,0.38,0.25,0.29,36,44,0.25,157,0.35,17.84,17.84,-0.1142891464021276,1.968752796748805,0.24022237180561584,-74.39470021598687,0.11963215386127354,0.41073899981192813,0.02160322483761515
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,18.0,C,0.86,0.95,0.75,0.84,30,16,0.73,911,0.95,17.84,17.84,-0.0089286307443014,1.77217429664438,0.5015751475368426,-86.43627868170408,0.1704656315025981,0.5268295131820709,0.044284865606937625
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,20.0,P,2.05,2.05,2.05,2.05,1,16,1.81,16,2.07,17.84,17.84,-0.1142891464021276,,,,,,
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,21.0,C,0.21,0.21,0.21,0.21,10,44,0.14,69,0.24,17.84,17.84,-0.1630793105715596,2.0447698247683608,0.15958192579257174,-60.2544756592182,0.08995221207632308,0.3207621432482314,0.01443809200042056
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,17.0,P,0.18,0.19,0.12,0.12,12,789,0.09,44,0.19,17.84,17.84,0.0482297830956471,0.9529996600126064,-0.2324224502339166,-34.41058326345934,0.2426906563677302,0.40334124381665665,-0.023688308025553394
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,22.0,C,0.12,0.14,0.1,0.12,24,54,0.09,12,0.17,17.84,17.84,-0.2095993262064525,2.072999631607899,0.0996240854777864,-43.97388449719882,0.06393159620707536,0.23112216869660665,0.009074212643011241
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,24.0,C,0.09,0.09,0.05,0.05,26,63,0.05,13,0.12,17.84,17.84,-0.2966107031960823,2.5104699917661115,0.06698056174736527,-39.42974532556029,0.039145425852927275,0.17138108492971843,0.006049860819630846
