underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol,delta,theta,gamma,vega,rho
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,19.0,C,1.44,1.44,1.31,1.31,26,17,1.22,11,1.42,17.84,17.84,-0.0629958520145771,1.706943031693053,0.465387578582482,-39.58842741078131,0.0831156301324721,1.1133739964303448,0.168640287650555
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,24.0,C,0.46,0.49,0.46,0.48,4,279,0.45,80,0.56,17.84,17.84,-0.2966107031960823,1.8249732550799047,0.18982916881051115,-28.56475454674252,0.053050310261795276,0.7597728627094469,0.07191825823815202
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,16.0,P,0.1,0.1,0.1,0.1,50,2213,0.05,11,0.13,17.84,17.84,0.108854404912082,0.6056883074205514,-0.10898977379714647,-6.1137820360536015,0.11008890195315053,0.5232775164823399,-0.050232574525831485
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,25.0,C,0.4,0.4,0.4,0.4,10,13,0.4,72,0.49,17.84,17.84,-0.3374326977163374,1.8934846569987291,0.1651596495303152,-27.106796299441378,0.046827391080668794,0.6958267135952484,0.06257745613006825
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,17.0,P,0.3,0.3,0.3,0.3,51,2122,0.25,20,0.35,17.84,17.84,0.0482297830956471,0.5828346782461166,-0.2695576312684602,-10.15558153561573,0.2023443032898789,0.9254984827429678,-0.12553484512069166
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,27.0,C,0.35,0.35,0.35,0.35,1,20,0.3,56,0.37,17.84,17.84,-0.4143937388524658,2.086144371264785,0.1379336261904222,-26.43395750857396,0.037702395847228676,0.6172379985507199,0.05187003472034261
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,18.0,C,1.65,1.71,1.65,1.65,16,17,1.6,34,1.84,17.84,17.84,-0.0089286307443014,1.541125580552967,0.5397343932117286,-35.97396625465008,0.09194774929040421,1.1120350534320276,0.1960733327998602
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,21.0,C,0.85,0.85,0.85,0.85,2,2,0.8,19,0.9,17.84,17.84,-0.1630793105715596,1.696126147079788,0.32100016511246876,-35.2474785971143,0.07536140764761268,1.0031052332019448,0.11983997046573643
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,18.0,P,0.75,0.75,0.75,0.75,10,2136,0.65,17,0.78,17.84,17.84,-0.0089286307443014,0.5977277409320935,-0.5031196271619404,-12.055674592277466,0.238244949345709,1.1175487056050153,-0.2389832301027047
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,30.0,C,0.27,0.27,0.27,0.27,1,45,0.18,86,0.27,17.84,17.84,-0.519754254510292,2.283566528203768,0.1039048493168439,-23.65162778705902,0.028209575869448854,0.5055330695118105,0.038917527182960404
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,40.0,C,0.1,0.1,0.1,0.1,20,22,0.07,2178,0.14,17.84,17.84,-0.807436326962073,2.61316262550412,0.039772506327089695,-12.826003966731236,0.011717248627726858,0.24028763805194575,0.014979144387660702
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,10.5,C,8.4,8.4,8.4,8.4,5,17,8.38,17,8.69,17.84,17.84,0.5300678699883857,4.222667583371371,0.8721603469302988,-51.25373373401102,0.017676602471597247,0.5857671794887623,0.1759313903460787
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,20.0,C,1.05,1.1,0.33,0.86,27,18,0.96,13,1.13,17.84,17.84,-0.1142891464021276,1.642708686765114,0.3823174254973902,-36.47946824875969,0.08289239365807632,1.0685985476652642,0.14180663099214372
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,17.0,C,2.4,2.4,2.32,2.32,10,17,2.18,17,2.46,17.84,17.84,0.0482297830956471,1.7912546561830751,0.6276288127744248,-39.84560618228889,0.07539889632039252,1.0598921269136412,0.21617466052323367
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,17.0,C,2.26,2.26,2.26,2.26,5,17,2.08,35,2.36,17.75,17.75,0.0431721718652087,1.7121103595178362,0.6213783277682138,-38.14671556076208,0.07969992268093988,1.0600735900196492,0.21550070053290213
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,21.0,C,0.8,0.8,0.8,0.8,2,3,0.75,53,0.87,17.75,17.75,-0.1681369218019982,1.6738660494252742,0.31070709309051575,-34.13140224086649,0.07569326614036087,0.9842927944548845,0.11586905642045171
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,17.0,P,0.3,0.3,0.3,0.3,21,661,0.3,19,0.34,17.75,17.75,0.0431721718652087,0.5556601630627487,-0.280333665798124,-9.769769412417254,0.21747653481701376,0.9387890736664707,-0.12963839303641025
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,20.0,C,0.89,1.07,0.89,0.96,19,18,0.89,136,1.05,17.75,17.75,-0.1193467576325662,1.5216576153511958,0.3578733644431298,-32.94564498771133,0.08802889249137709,1.0406113094774374,0.13423101962618197
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,19.0,C,1.25,1.25,1.25,1.25,2,1,1.16,673,1.3,17.75,17.75,-0.0680534632450156,1.5718082198460988,0.4455305994931064,-36.12981894504574,0.09021193161846663,1.1015644134945053,0.16361905042112365
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,18.0,C,1.58,1.65,1.58,1.6,3,17,1.51,55,1.75,17.75,17.75,-0.0139862419747398,1.5210286489979483,0.5305810975484233,-35.39558986186216,0.09382552789143594,1.108676317198392,0.192607343750524
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,10.0,C,8.8,8.8,8.8,8.8,1,17,8.79,17,9.1,17.75,17.75,0.5738004229273791,4.463895665397281,0.879899331028626,-51.54332130098951,0.016087455188690706,0.5578889316799224,0.16754858953690543
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,35.0,C,0.12,0.12,0.12,0.12,2,13,0.12,1125,0.15,17.75,17.75,-0.678962545567989,2.359086066831857,0.05077343793106198,-14.040284389828798,0.015878303562504335,0.29100084221222494,0.01919828903228992
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,50.0,C,0.04,0.04,0.04,0.04,12,0,0.0,1809,0.05,17.75,17.75,-1.0356374895067213,2.7998768449397966,0.01670544282442719,-6.611908703076628,0.005322228998945166,0.11576541837838958,0.006303891347631897
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,26.0,C,0.38,0.38,0.38,0.38,2,21,0.28,79,0.38,17.75,17.75,-0.3817110221000572,2.024202906714228,0.15149408391942581,-27.205000444108645,0.04159973110662137,0.654170457458794,0.05674274164848888
