underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol,delta,theta,gamma,vega,rho
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,23.0,C,2.9,2.9,2.9,2.9,2,36233,2.85,5889,2.95,17.84,17.84,-0.2540510887772864,1.696908099918821,0.48025612241601007,-16.989529510972673,0.03521161465374525,2.6571206517056205,0.7770636808478032
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,18.0,C,5.0,5.0,5.0,5.0,6,3478,4.9,2019,5.0,17.84,17.84,-0.0089286307443014,1.937221765551827,0.6478021665756789,-18.150417419146606,0.028736982815069062,2.4756401637141288,0.8988530720152238
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,22.0,C,3.18,3.18,3.1,3.18,11,45780,3.1,42966,3.3,17.84,17.84,-0.2095993262064525,1.7089669604632949,0.5099387920229111,-17.156686661608536,0.03499516882314171,2.6595537460461003,0.8112617419748711
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,37.5,C,1.1,1.1,1.1,1.1,8,16538,1.05,21,1.1,17.84,17.84,-0.7428978058245018,1.775926319216519,0.22517847812401304,-13.155731784076897,0.025335603544870768,2.000889981761552,0.400010081063346
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,25.0,C,2.45,2.45,2.4,2.4,40,18625,2.4,28707,2.5,17.84,17.84,-0.3374326977163374,1.6908493581863082,0.42705305971697016,-16.606533917898986,0.03478799042585635,2.615780335528081,0.7086516749764146
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,18.0,P,0.82,0.82,0.82,0.82,1000,29897,0.8,50362,0.9,17.84,17.84,-0.0089286307443014,0.2840005028381475,-0.43200477388176106,-1.3806953122484693,0.2075809999064617,2.621644017793886,-1.1669163216105658
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,35.0,C,1.26,1.27,1.25,1.25,6,34898,1.2,32536,1.3,17.84,17.84,-0.6739049343375504,1.7554312253271485,0.2526431661047812,-13.875649770714682,0.027297275778707844,2.130934684584201,0.4452490422367334
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,19.0,C,4.38,4.4,4.3,4.4,4,32436,4.3,40399,4.5,17.84,17.84,-0.0629958520145771,1.828406448469032,0.6106366561058478,-17.7149613998791,0.03145286738551655,2.55740788497695,0.8929775391816089
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,32.5,C,1.45,1.46,1.42,1.46,69,16829,1.4,29994,1.5,17.84,17.84,-0.5997969621838284,1.7314953691319532,0.2843680948589164,-14.55937095148693,0.02937145311357018,2.261589500645021,0.49679369441891885
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,26.0,C,2.25,2.25,2.25,2.25,30,36323,2.2,26186,2.3,17.84,17.84,-0.3766534108696188,1.6868159547887032,0.4020541513932276,-16.314454882624826,0.03439139576225913,2.579790943051217,0.6749362948725414
