underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol,delta,theta,gamma,vega,rho
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,10.0,C,14.8,14.8,14.8,14.8,1,709,14.7,3414,15.0,17.84,17.84,0.5788580341578177,3.4290533339253018,0.9288898237898685,-6.2242458177469935,0.0031901837544390187,1.6883405101739526,0.8043466219520338
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,47.5,P,24.0,24.0,24.0,24.0,1,25958,23.9,28320,24.1,17.84,17.84,-0.979286583888732,,,,,,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,45.0,P,21.6,21.6,21.6,21.6,1,3863,21.6,29147,21.8,17.84,17.84,-0.9252193626184564,,,,,,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,45.0,C,1.65,1.65,1.65,1.65,2,30929,1.55,7645,1.65,17.84,17.84,-0.9252193626184564,1.2290789820648025,0.28570797597213815,-5.8490277202790715,0.022260700062834406,4.222685258471967,1.5704032301038242
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,40.0,C,2.05,2.05,2.0,2.0,11,33926,1.95,29908,2.1,17.84,17.84,-0.807436326962073,1.2341684714822512,0.3361293797375744,-6.336653118586678,0.023792355327136666,4.531917411178353,1.7974492716900117
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,37.5,C,2.32,2.32,2.32,2.32,3,25369,2.25,5519,2.35,17.84,17.84,-0.7428978058245018,1.242871258234831,0.3671238576377544,-6.606075891793769,0.024390645050540675,4.67863896069522,1.9259687092752105
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,35.0,P,12.9,12.9,12.9,12.9,1,29283,12.6,15525,12.8,17.84,17.84,-0.6739049343375504,,,,,,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,35.0,C,2.65,2.65,2.65,2.65,384,27646,2.55,18202,2.7,17.84,17.84,-0.6739049343375504,1.2566249563231926,0.40230026068880015,-6.881269604290016,0.02478441724274979,4.806782752957402,2.061046550095386
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,29.0,C,3.5,3.72,3.5,3.72,4,33393,3.6,30131,3.8,17.84,17.84,-0.4858527028346108,1.2632935140369068,0.4889521426389147,-7.206508645444969,0.025409971425879595,4.954257152723524,2.3768551243002864
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,27.0,C,4.1,4.1,4.1,4.1,4,30576,4.1,30145,4.3,17.84,17.84,-0.4143937388524658,1.3151570776835395,0.5345950247512348,-7.479420199848199,0.024325421529073576,4.937511308175664,2.473682734721684
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,26.0,P,5.58,5.58,5.58,5.58,10,31701,5.5,30343,5.7,17.84,17.84,-0.3766534108696188,,,,,,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,25.0,P,4.8,4.9,4.8,4.89,5,32037,4.8,30430,5.0,17.84,17.84,-0.3374326977163374,,,,,,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,25.0,C,4.8,4.8,4.8,4.8,25,35075,4.6,4366,4.8,17.84,17.84,-0.3374326977163374,1.3788293384621382,0.5817159046113058,-7.701806332770094,0.022799436422547496,4.851820548551274,2.5369700179818957
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,24.0,P,4.2,4.2,4.2,4.2,35,35823,4.1,30008,4.3,17.84,17.84,-0.2966107031960823,,,,,,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,24.0,C,5.05,5.05,5.05,5.05,1,31346,5.0,29962,5.2,17.84,17.84,-0.2966107031960823,1.3871279482135606,0.5998942579489281,-7.679790829805985,0.022420797049963945,4.799960589792504,2.570545199563784
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,20.0,P,1.9,1.9,1.9,1.9,2,32211,1.85,4458,1.95,17.84,17.84,-0.1142891464021276,,,,,,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,26.0,C,4.3,4.42,4.3,4.42,6,35954,4.3,4540,4.5,17.84,17.84,-0.3766534108696188,1.317670700865751,0.5515343909714916,-7.475965908315419,0.02416708791252202,4.914748662579108,2.519982144916658
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,20.0,C,6.8,6.8,6.8,6.8,2,24612,6.7,32762,6.9,17.84,17.84,-0.1142891464021276,1.5574824974927417,0.6934444160835587,-7.806545713521379,0.01814403880674134,4.361413293525889,2.532384786249905
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,16.0,C,9.3,9.3,9.3,9.3,1,6991,9.2,8319,9.5,17.84,17.84,0.108854404912082,1.9005265248958496,0.7882318951190996,-7.736407702812932,0.01226654112267522,3.598041401786984,2.163573741320225
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,15.0,C,10.08,10.08,10.08,10.08,100,23868,10.0,27105,10.3,17.84,17.84,0.1733929260496532,2.03889966195406,0.8117954386583357,-7.679769273914065,0.010650840000059515,3.351581746527724,1.9999521226469117
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,17.0,P,0.75,0.75,0.75,0.75,1,33423,0.7,8464,0.8,17.84,17.84,0.0482297830956471,0.2430341943903352,-0.20897126923839254,-0.26200875217523223,0.095178482005288,3.5700661081881337,-1.9958866054770796
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,30.0,P,8.6,8.61,8.6,8.61,5,7019,8.6,29676,8.8,17.75,17.75,-0.5248118657407306,,,,,,
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,25.0,P,4.8,4.8,4.8,4.8,6,1,4.9,14850,5.0,17.75,17.75,-0.342490308946776,,,,,,
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,35.0,P,12.7,12.7,12.7,12.7,1,27263,12.7,29725,12.9,17.75,17.75,-0.678962545567989,,,,,,
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,26.0,C,4.4,4.4,4.4,4.4,1,26998,4.3,29981,4.5,17.75,17.75,-0.3817110221000572,1.347521599842882,0.5563954646491638,-7.572279734020027,0.02371195084317172,4.881801741881613,2.491023910441266
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,15.0,P,0.3,0.3,0.3,0.3,1,39272,0.25,8025,0.35,17.75,17.75,0.1683353148192147,0.2744399942785195,-0.0859100628038385,-0.29195336086178403,0.046239401649155354,1.9388165749159778,-0.8098049554397727
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,35.0,C,2.57,2.57,2.57,2.57,1,25563,2.5,232,2.6,17.75,17.75,-0.678962545567989,1.2466449754025648,0.3965907116839568,-6.7692499516460165,0.025015096843595524,4.764552274459906,2.0349382094483026
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,37.5,C,2.35,2.35,2.35,2.35,1,23007,2.2,9623,2.3,17.75,17.75,-0.7479554170549403,1.2562167958088448,0.3697892707942544,-6.651925202172755,0.024311553014213855,4.666104004337993,1.9187313020066494
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,25.0,C,4.71,4.71,4.71,4.71,1,24798,4.6,31708,4.8,17.75,17.75,-0.342490308946776,1.37060714746802,0.5778830636682846,-7.63520560660205,0.0230980656601297,4.836884539179896,2.523210796845201
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,24.0,C,5.0,5.0,5.0,5.0,1,31854,4.9,28398,5.1,17.75,17.75,-0.3016683144265207,1.387429582986751,0.5979303552746746,-7.64974955936756,0.022558271166854146,4.7818272207795856,2.5528972506410987
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,30.0,C,3.47,3.47,3.4,3.4,2,33403,3.3,29200,3.5,17.75,17.75,-0.5248118657407306,1.297378744665717,0.48138931882752056,-7.321146692766265,0.024850310753006793,4.925788030942265,2.309358175350551
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,10.0,P,0.03,0.03,0.03,0.03,1,0,0.0,49859,0.05,17.75,17.75,0.5738004229273791,0.4121910825485091,-0.008147780023858655,-0.09246867300903831,0.0043720160450350515,0.2753324857717193,-0.07744843686973947
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,50.0,C,1.25,1.25,1.25,1.25,1,8078,1.2,29197,1.3,17.75,17.75,-1.0356374895067213,1.2051082412834475,0.2340239945771117,-5.128370421506843,0.020582585052530765,3.789684817427887,1.3234755595850245
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,60.0,C,0.85,0.85,0.85,0.85,1,35324,0.75,31361,0.9,17.75,17.75,-1.217959046300676,1.2033329141427611,0.1721908463980894,-4.231621511891988,0.017153188177522892,3.1536084064155063,1.0060260201640765
^VIX,2021-04-26 11:00:00,VIX,2021-10-20,32.5,P,10.7,10.71,10.7,10.71,25,24768,10.6,31632,10.8,17.74,17.74,-0.6054181124542586,,,,,,
^VIX,2021-04-26 11:00:00,VIX,2021-10-20,25.0,C,4.6,4.7,4.6,4.7,13,31633,4.6,30749,4.8,17.74,17.74,-0.3430538479867674,1.3492524802464128,0.5729941662268867,-7.543455293085237,0.02353266460992907,4.84564912136508,2.531275825786745
^VIX,2021-04-26 11:00:00,VIX,2021-10-20,30.0,C,3.42,3.42,3.42,3.42,5,34568,3.3,16965,3.5,17.74,17.74,-0.5253754047807221,1.2880773946113695,0.4784146746373568,-7.266686856794053,0.025034445180872448,4.921160872810126,2.305968571964294
^VIX,2021-04-26 11:00:00,VIX,2021-10-20,27.0,C,4.1,4.1,4.1,4.1,5,35220,4.0,17419,4.2,17.74,17.74,-0.4200148891228957,1.325388155375685,0.5347287772987909,-7.4861106779621185,0.024272998884750027,4.909690932613108,2.45040876502609
^VIX,2021-04-26 11:00:00,VIX,2021-10-20,25.0,P,4.9,4.9,4.9,4.9,3,35938,4.8,16567,5.0,17.74,17.74,-0.3430538479867674,,,,,,
^VIX,2021-04-26 11:00:00,VIX,2021-10-20,27.0,P,6.3,6.3,6.3,6.3,25,35960,6.2,6848,6.4,17.74,17.74,-0.4200148891228957,,,,,,
^VIX,2021-04-26 11:30:00,VIX,2021-10-20,19.0,P,1.45,1.45,1.45,1.45,5,33871,1.4,25,1.5,17.76,17.76,-0.0674902416024164,0.1535755902831932,-0.4525047551626078,0.5661447113143183,0.20855102152426305,4.898925550510104,-4.233696158353455
^VIX,2021-04-26 11:30:00,VIX,2021-10-20,27.0,C,4.1,4.1,4.1,4.1,1,34852,4.0,16703,4.2,17.76,17.76,-0.418888128440305,1.3233367369126454,0.5347002287541284,-7.48479138305385,0.024283401700990758,4.915256859323434,2.455049949152807
^VIX,2021-04-26 11:30:00,VIX,2021-10-20,20.0,P,1.95,1.95,1.95,1.95,1,33595,1.85,16224,2.0,17.76,17.76,-0.1187835359899668,,,,,,
^VIX,2021-04-26 12:00:00,VIX,2021-10-20,25.0,C,4.7,4.7,4.7,4.7,2,34802,4.6,16751,4.8,17.79,17.79,-0.3402393231904569,1.3640747529788717,0.5773941612583486,-7.623153355506057,0.023162162314514564,4.848970808763355,2.534339066663287
^VIX,2021-04-26 12:00:00,VIX,2021-10-20,28.0,C,3.9,3.9,3.9,3.9,1,29517,3.8,29883,4.0,17.79,17.79,-0.4535680084974601,1.315429297378951,0.5176402426531392,-7.462250820120355,0.024456908877301967,4.937434800985118,2.4154673983824537
^VIX,2021-04-26 12:30:00,VIX,2021-10-20,25.0,P,4.8,4.8,4.8,4.8,4,29941,4.8,28596,5.0,17.93,17.93,-0.3324005372511593,,,,,,
