underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 12:30:00,VIX,2021-05-19,10.0,C,10.27,10.3,10.27,10.3,12,4883,10.2,1207,10.4,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,10.0,C,10.29,10.29,10.29,10.29,1,6648,10.2,2399,10.4,17.96,17.96
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,10.0,C,10.31,10.31,10.31,10.31,10,5888,10.1,5254,10.3,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,13.0,C,7.4,7.4,7.4,7.4,2,3901,7.1,795,7.3,17.72,17.72
^VIX,2021-04-26 11:00:00,VIX,2021-05-19,14.5,P,0.03,0.04,0.03,0.04,400,0,0.0,8780,0.05,17.74,17.74
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,15.0,C,5.28,5.38,5.28,5.33,13,33973,5.2,8416,5.4,17.84,17.84
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,15.0,C,5.4,5.5,5.4,5.5,2,3906,5.3,30879,5.5,17.96,17.96
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,15.0,P,0.05,0.07,0.05,0.07,64,1364,0.05,38505,0.1,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-05-19,15.0,P,0.07,0.07,0.07,0.07,20,3618,0.05,36507,0.1,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-05-19,15.0,P,0.05,0.05,0.05,0.05,3,2676,0.05,39826,0.1,17.74,17.74
^VIX,2021-04-26 11:30:00,VIX,2021-05-19,15.0,P,0.07,0.07,0.07,0.07,4,4603,0.05,40808,0.1,17.76,17.76
^VIX,2021-04-26 12:00:00,VIX,2021-05-19,15.0,P,0.05,0.07,0.05,0.07,73,1851,0.05,39414,0.1,17.79,17.79
^VIX,2021-04-26 15:30:00,VIX,2021-05-19,15.0,P,0.07,0.1,0.05,0.1,1004,3991,0.05,41338,0.1,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,15.0,P,0.05,0.05,0.05,0.05,1,1281,0.05,38588,0.1,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,16.0,C,4.4,4.41,4.4,4.41,5,32193,4.3,14497,4.5,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-05-19,16.0,C,4.34,4.34,4.34,4.34,4,315,4.3,9840,4.4,17.75,17.75
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,16.0,C,4.5,4.5,4.5,4.5,1,1176,4.4,376,4.5,17.96,17.96
^VIX,2021-04-26 14:00:00,VIX,2021-05-19,16.0,C,4.49,4.49,4.49,4.49,10,33893,4.3,29240,4.5,17.78,17.78
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,16.0,C,4.6,4.6,4.6,4.6,1,2351,4.3,759,4.4,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,16.0,P,0.2,0.2,0.15,0.15,37,53,0.15,44351,0.2,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-05-19,16.0,P,0.17,0.17,0.17,0.17,220,3594,0.15,45080,0.2,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-05-19,16.0,P,0.15,0.15,0.15,0.15,6,493,0.15,41149,0.2,17.74,17.74
^VIX,2021-04-26 11:30:00,VIX,2021-05-19,16.0,P,0.18,0.18,0.18,0.18,4,6163,0.15,36688,0.2,17.76,17.76
^VIX,2021-04-26 12:00:00,VIX,2021-05-19,16.0,P,0.16,0.16,0.16,0.16,40,577,0.15,47635,0.2,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-05-19,16.0,P,0.15,0.16,0.14,0.14,270,27361,0.1,34,0.15,17.93,17.93
^VIX,2021-04-26 13:00:00,VIX,2021-05-19,16.0,P,0.14,0.16,0.11,0.15,174,29065,0.1,21,0.15,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,16.0,P,0.13,0.15,0.12,0.15,17,26739,0.1,48810,0.2,17.96,17.96
^VIX,2021-04-26 14:00:00,VIX,2021-05-19,16.0,P,0.16,0.17,0.15,0.17,2709,300,0.15,43601,0.2,17.78,17.78
^VIX,2021-04-26 14:30:00,VIX,2021-05-19,16.0,P,0.15,0.15,0.15,0.15,305,500,0.15,41062,0.2,17.79,17.79
^VIX,2021-04-26 15:30:00,VIX,2021-05-19,16.0,P,0.2,0.2,0.15,0.15,49,30836,0.1,44734,0.2,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,16.0,P,0.15,0.15,0.15,0.15,67,32326,0.1,43539,0.2,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,17.0,C,3.61,3.69,3.6,3.6,20,7577,3.6,1984,3.7,17.84,17.84
^VIX,2021-04-26 11:00:00,VIX,2021-05-19,17.0,C,3.57,3.64,3.57,3.6,16,37086,3.5,22473,3.7,17.74,17.74
^VIX,2021-04-26 11:30:00,VIX,2021-05-19,17.0,C,3.6,3.6,3.6,3.6,10,17872,3.5,1,3.6,17.76,17.76
^VIX,2021-04-26 12:00:00,VIX,2021-05-19,17.0,C,3.6,3.6,3.6,3.6,5,5276,3.6,2365,3.7,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-05-19,17.0,C,3.7,3.7,3.7,3.7,5,12172,3.6,33645,3.8,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,17.0,C,3.6,3.6,3.6,3.6,5,12939,3.6,37938,3.8,17.96,17.96
^VIX,2021-04-26 14:00:00,VIX,2021-05-19,17.0,C,3.7,3.7,3.61,3.61,3,35068,3.5,16780,3.7,17.78,17.78
^VIX,2021-04-26 15:00:00,VIX,2021-05-19,17.0,C,3.7,3.7,3.7,3.7,1,3865,3.5,2506,3.6,17.69,17.69
^VIX,2021-04-26 15:30:00,VIX,2021-05-19,17.0,C,3.5,3.5,3.4,3.4,4,32686,3.6,35576,3.8,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,17.0,C,3.69,3.69,3.67,3.67,55,8151,3.5,34631,3.7,17.72,17.72
^VIX,2021-04-26 16:15:00,VIX,2021-05-19,17.0,C,3.5,3.5,3.5,3.5,4,1433,3.5,635,3.6,17.64,17.64
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,17.0,P,0.4,0.4,0.35,0.4,68,32356,0.35,43485,0.45,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-05-19,17.0,P,0.4,0.42,0.4,0.4,161,932,0.4,42447,0.45,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-05-19,17.0,P,0.4,0.42,0.4,0.42,567,396,0.4,44157,0.45,17.74,17.74
^VIX,2021-04-26 11:30:00,VIX,2021-05-19,17.0,P,0.4,0.4,0.4,0.4,399,36985,0.35,42067,0.45,17.76,17.76
^VIX,2021-04-26 12:00:00,VIX,2021-05-19,17.0,P,0.39,0.39,0.37,0.39,113,12202,0.35,6037,0.4,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-05-19,17.0,P,0.35,0.35,0.35,0.35,1885,35495,0.3,28775,0.4,17.93,17.93
^VIX,2021-04-26 13:00:00,VIX,2021-05-19,17.0,P,0.35,0.39,0.35,0.35,760,250,0.35,42075,0.4,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,17.0,P,0.35,0.35,0.35,0.35,266,24697,0.3,21,0.35,17.96,17.96
^VIX,2021-04-26 14:00:00,VIX,2021-05-19,17.0,P,0.35,0.37,0.35,0.37,30,1085,0.35,29772,0.4,17.78,17.78
^VIX,2021-04-26 14:30:00,VIX,2021-05-19,17.0,P,0.4,0.4,0.4,0.4,1,3521,0.35,29017,0.4,17.79,17.79
^VIX,2021-04-26 15:30:00,VIX,2021-05-19,17.0,P,0.37,0.37,0.37,0.37,4,3,0.35,42724,0.4,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,17.0,P,0.35,0.4,0.35,0.4,76,338,0.35,27593,0.4,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,18.0,C,3.1,3.1,3.1,3.1,8,5104,3.0,14364,3.1,17.84,17.84
^VIX,2021-04-26 12:00:00,VIX,2021-05-19,18.0,C,2.97,3.0,2.97,3.0,8,10,3.0,22014,3.1,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-05-19,18.0,C,3.03,3.03,3.03,3.03,1,2683,3.0,14401,3.1,17.93,17.93
^VIX,2021-04-26 13:00:00,VIX,2021-05-19,18.0,C,3.1,3.1,3.0,3.0,6,3270,3.0,18808,3.1,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,18.0,C,3.0,3.0,3.0,3.0,2,226,3.0,17423,3.1,17.96,17.96
^VIX,2021-04-26 14:00:00,VIX,2021-05-19,18.0,C,3.1,3.1,3.1,3.1,2,3191,2.95,35975,3.1,17.78,17.78
^VIX,2021-04-26 14:30:00,VIX,2021-05-19,18.0,C,3.01,3.01,3.01,3.01,1,7194,2.95,32134,3.1,17.79,17.79
^VIX,2021-04-26 15:30:00,VIX,2021-05-19,18.0,C,2.96,2.96,2.9,2.9,6,13277,3.0,36467,3.2,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,18.0,C,3.09,3.09,3.0,3.0,12,3044,2.9,10451,3.0,17.72,17.72
^VIX,2021-04-26 16:15:00,VIX,2021-05-19,18.0,C,2.95,2.95,2.95,2.95,1,265,2.9,2391,3.0,17.64,17.64
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,18.0,P,0.8,0.82,0.8,0.82,401,21,0.75,3046,0.8,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-05-19,18.0,P,0.8,0.8,0.8,0.8,10,18776,0.75,315,0.8,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-05-19,18.0,P,0.8,0.8,0.8,0.8,10,7204,0.75,1167,0.8,17.74,17.74
^VIX,2021-04-26 12:00:00,VIX,2021-05-19,18.0,P,0.75,0.75,0.75,0.75,5,42186,0.7,32110,0.8,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-05-19,18.0,P,0.75,0.75,0.72,0.72,10,10,0.7,20745,0.75,17.93,17.93
^VIX,2021-04-26 13:00:00,VIX,2021-05-19,18.0,P,0.74,0.74,0.74,0.74,1,36662,0.65,25695,0.75,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,18.0,P,0.71,0.71,0.71,0.71,2,36582,0.65,26449,0.75,17.96,17.96
^VIX,2021-04-26 14:00:00,VIX,2021-05-19,18.0,P,0.7,0.7,0.7,0.7,163,8025,0.7,2310,0.75,17.78,17.78
^VIX,2021-04-26 15:00:00,VIX,2021-05-19,18.0,P,0.75,0.75,0.75,0.75,450,27550,0.7,42366,0.8,17.69,17.69
^VIX,2021-04-26 15:30:00,VIX,2021-05-19,18.0,P,0.75,0.75,0.7,0.7,6,25178,0.65,38073,0.75,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,18.0,P,0.67,0.7,0.67,0.7,54,5925,0.7,27,0.75,17.72,17.72
^VIX,2021-04-26 16:15:00,VIX,2021-05-19,18.0,P,0.75,0.75,0.75,0.75,40,4349,0.7,18894,0.8,17.64,17.64
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,19.0,C,2.57,2.6,2.55,2.55,10,40762,2.5,3214,2.6,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-05-19,19.0,C,2.45,2.46,2.45,2.45,7,697,2.45,533,2.5,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-05-19,19.0,C,2.5,2.5,2.5,2.5,21,41470,2.45,2882,2.55,17.74,17.74
^VIX,2021-04-26 11:30:00,VIX,2021-05-19,19.0,C,2.5,2.5,2.5,2.5,1,5155,2.45,27772,2.55,17.76,17.76
^VIX,2021-04-26 12:00:00,VIX,2021-05-19,19.0,C,2.47,2.51,2.47,2.51,5,2325,2.5,27243,2.6,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-05-19,19.0,C,2.55,2.55,2.55,2.55,2,12845,2.5,16609,2.6,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-05-19,19.0,C,2.6,2.6,2.6,2.6,1,6107,2.5,27574,2.6,17.96,17.96
^VIX,2021-04-26 14:00:00,VIX,2021-05-19,19.0,C,2.54,2.54,2.54,2.54,10,18025,2.45,7596,2.55,17.78,17.78
^VIX,2021-04-26 15:00:00,VIX,2021-05-19,19.0,C,2.45,2.45,2.45,2.45,15,12527,2.4,24427,2.5,17.69,17.69
^VIX,2021-04-26 15:30:00,VIX,2021-05-19,19.0,C,2.4,2.45,2.4,2.45,3,20124,2.5,6294,2.6,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-05-19,19.0,C,2.55,2.55,2.55,2.55,250,8001,2.4,2559,2.5,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-05-19,19.0,P,1.4,1.4,1.3,1.3,140,32001,1.25,28870,1.35,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-05-19,19.0,P,1.27,1.3,1.27,1.3,3075,1,1.3,15284,1.35,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-05-19,19.0,P,1.3,1.3,1.29,1.29,2,31520,1.25,28544,1.35,17.74,17.74
