underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,10.0,C,14.8,14.8,14.8,14.8,1,709,14.7,3414,15.0,17.84,17.84
^VIX,2021-04-26 12:30:00,VIX,2021-10-20,10.0,C,14.79,14.79,14.79,14.79,1,529,14.7,479,14.9,17.93,17.93
^VIX,2021-04-26 13:00:00,VIX,2021-10-20,10.0,C,14.7,14.7,14.7,14.7,1,508,14.7,493,14.9,17.93,17.93
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,10.0,P,0.03,0.03,0.03,0.03,1,0,0.0,49859,0.05,17.75,17.75
^VIX,2021-04-26 14:00:00,VIX,2021-10-20,11.0,C,13.8,13.8,13.8,13.8,5,4864,13.6,2314,13.9,17.78,17.78
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,15.0,C,10.08,10.08,10.08,10.08,100,23868,10.0,27105,10.3,17.84,17.84
^VIX,2021-04-26 13:00:00,VIX,2021-10-20,15.0,C,10.2,10.2,10.2,10.2,19,7432,10.0,8503,10.2,17.93,17.93
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,15.0,P,0.3,0.3,0.3,0.3,1,39272,0.25,8025,0.35,17.75,17.75
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,16.0,C,9.3,9.3,9.3,9.3,1,6991,9.2,8319,9.5,17.84,17.84
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,17.0,P,0.75,0.75,0.75,0.75,1,33423,0.7,8464,0.8,17.84,17.84
^VIX,2021-04-26 16:00:00,VIX,2021-10-20,17.0,P,0.75,0.75,0.75,0.75,25,33174,0.7,7455,0.8,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-10-20,18.0,P,1.05,1.05,1.05,1.05,5,37743,1.0,21,1.1,17.72,17.72
^VIX,2021-04-26 16:15:00,VIX,2021-10-20,18.0,P,1.1,1.1,1.1,1.1,11,148,1.05,2194,1.15,17.64,17.64
^VIX,2021-04-26 11:30:00,VIX,2021-10-20,19.0,P,1.45,1.45,1.45,1.45,5,33871,1.4,25,1.5,17.76,17.76
^VIX,2021-04-26 15:00:00,VIX,2021-10-20,19.0,P,1.45,1.45,1.45,1.45,1,36445,1.4,42,1.5,17.69,17.69
^VIX,2021-04-26 16:15:00,VIX,2021-10-20,19.0,P,1.5,1.5,1.5,1.5,30,15001,1.4,2665,1.55,17.64,17.64
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,20.0,C,6.8,6.8,6.8,6.8,2,24612,6.7,32762,6.9,17.84,17.84
^VIX,2021-04-26 15:00:00,VIX,2021-10-20,20.0,C,6.68,6.68,6.68,6.68,1,210,6.6,33935,6.8,17.69,17.69
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,20.0,P,1.9,1.9,1.9,1.9,2,32211,1.85,4458,1.95,17.84,17.84
^VIX,2021-04-26 11:30:00,VIX,2021-10-20,20.0,P,1.95,1.95,1.95,1.95,1,33595,1.85,16224,2.0,17.76,17.76
^VIX,2021-04-26 15:00:00,VIX,2021-10-20,20.0,P,1.89,1.89,1.89,1.89,1,33911,1.85,1038,1.95,17.69,17.69
