underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 16:00:00,VIX,2021-08-18,10.0,C,14.1,14.1,14.1,14.1,5,1443,13.8,845,14.0,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,14.0,P,0.1,0.1,0.1,0.1,5,52199,0.05,63954,0.15,17.84,17.84
^VIX,2021-04-26 16:00:00,VIX,2021-08-18,14.0,P,0.15,0.15,0.15,0.15,1,46167,0.05,57709,0.15,17.72,17.72
^VIX,2021-04-26 11:30:00,VIX,2021-08-18,15.0,C,9.2,9.2,9.2,9.2,1,458,9.1,30122,9.3,17.76,17.76
^VIX,2021-04-26 12:00:00,VIX,2021-08-18,16.0,C,8.3,8.3,8.3,8.3,4,8343,8.3,26492,8.5,17.79,17.79
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,17.0,C,7.8,7.8,7.8,7.8,2,26111,7.6,34306,7.8,17.84,17.84
^VIX,2021-04-26 15:30:00,VIX,2021-08-18,17.0,C,7.7,7.7,7.7,7.7,14,29250,7.5,8944,7.7,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,17.0,P,0.64,0.64,0.64,0.64,5,16011,0.6,40333,0.7,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-08-18,17.0,P,0.65,0.65,0.65,0.65,2000,39973,0.6,27432,0.7,17.75,17.75
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,18.0,C,7.0,7.0,7.0,7.0,1,31672,6.9,16242,7.1,17.84,17.84
^VIX,2021-04-26 12:30:00,VIX,2021-08-18,18.0,C,7.01,7.01,7.01,7.01,4,5644,6.9,29850,7.1,17.93,17.93
^VIX,2021-04-26 15:30:00,VIX,2021-08-18,18.0,C,7.0,7.0,7.0,7.0,5,270,6.9,491,7.0,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-08-18,18.0,C,7.0,7.1,7.0,7.1,7,5374,6.8,6966,7.0,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,19.0,C,6.3,6.3,6.3,6.3,3,31157,6.3,16813,6.5,17.84,17.84
^VIX,2021-04-26 12:30:00,VIX,2021-08-18,19.0,C,6.4,6.4,6.4,6.4,1,6125,6.3,30777,6.5,17.93,17.93
^VIX,2021-04-26 12:00:00,VIX,2021-08-18,19.0,P,1.35,1.35,1.35,1.35,15,36241,1.3,16831,1.4,17.79,17.79
^VIX,2021-04-26 11:00:00,VIX,2021-08-18,20.0,C,5.8,5.8,5.8,5.8,6,31619,5.7,37134,5.9,17.74,17.74
^VIX,2021-04-26 12:00:00,VIX,2021-08-18,20.0,C,5.82,5.82,5.82,5.82,10,3235,5.8,14813,5.9,17.79,17.79
^VIX,2021-04-26 14:00:00,VIX,2021-08-18,20.0,C,5.9,5.9,5.9,5.9,1,23,5.8,21470,5.9,17.78,17.78
^VIX,2021-04-26 16:00:00,VIX,2021-08-18,20.0,P,1.8,1.8,1.8,1.8,1,10710,1.8,15043,1.9,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,21.0,C,5.42,5.42,5.42,5.42,1,35580,5.3,35261,5.5,17.84,17.84
^VIX,2021-04-26 11:30:00,VIX,2021-08-18,21.0,C,5.32,5.32,5.32,5.32,1,246,5.3,14632,5.4,17.76,17.76
^VIX,2021-04-26 10:30:00,VIX,2021-08-18,21.0,P,2.4,2.4,2.4,2.4,1000,23343,2.35,13373,2.45,17.75,17.75
^VIX,2021-04-26 10:30:00,VIX,2021-08-18,22.0,C,4.9,4.9,4.9,4.9,1,26716,4.8,37719,5.0,17.75,17.75
^VIX,2021-04-26 14:30:00,VIX,2021-08-18,22.0,C,4.96,4.96,4.96,4.96,60,9507,4.9,1713,5.0,17.79,17.79
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,22.0,P,2.94,2.94,2.94,2.94,1,14452,2.9,37172,3.0,17.84,17.84
^VIX,2021-04-26 16:00:00,VIX,2021-08-18,22.0,P,2.9,2.9,2.9,2.9,32,11306,2.9,5453,3.0,17.72,17.72
^VIX,2021-04-26 16:15:00,VIX,2021-08-18,22.0,P,2.97,2.97,2.97,2.97,1000,300,2.95,19566,3.1,17.64,17.64
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,23.0,C,4.65,4.65,4.65,4.65,2,23,4.6,33855,4.7,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-08-18,23.0,C,4.6,4.6,4.6,4.6,1,38731,4.4,18677,4.6,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-08-18,23.0,C,4.5,4.5,4.5,4.5,1,15460,4.5,1422,4.6,17.74,17.74
^VIX,2021-04-26 14:00:00,VIX,2021-08-18,23.0,C,4.57,4.57,4.57,4.57,5,37714,4.5,37437,4.7,17.78,17.78
^VIX,2021-04-26 16:15:00,VIX,2021-08-18,23.0,C,4.5,4.5,4.5,4.5,10,5183,4.4,3233,4.6,17.64,17.64
^VIX,2021-04-26 10:30:00,VIX,2021-08-18,23.0,P,3.6,3.6,3.6,3.6,25,22,3.6,31976,3.7,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-08-18,23.0,P,3.6,3.6,3.6,3.6,1,42674,3.5,34133,3.7,17.74,17.74
^VIX,2021-04-26 16:00:00,VIX,2021-08-18,23.0,P,3.6,3.6,3.6,3.6,10,39915,3.5,35439,3.7,17.72,17.72
