underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 16:15:00,VIX,2021-11-17,18.0,P,1.15,1.15,1.15,1.15,15,150,1.1,1,1.2,17.64,17.64
^VIX,2021-04-26 12:00:00,VIX,2021-11-17,19.0,P,1.5,1.5,1.5,1.5,5,7968,1.45,32,1.55,17.79,17.79
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,19.0,P,1.55,1.55,1.55,1.55,15,4069,1.5,39,1.6,17.72,17.72
^VIX,2021-04-26 15:00:00,VIX,2021-11-17,23.0,C,5.23,5.23,5.23,5.23,10,22310,5.1,466,5.3,17.69,17.69
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,25.0,C,4.7,4.7,4.7,4.7,2,5254,4.6,1420,4.8,17.84,17.84
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,25.0,C,4.65,4.65,4.65,4.65,5,6113,4.5,2361,4.7,17.74,17.74
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,25.0,C,4.5,4.5,4.5,4.5,2,22144,4.4,514,4.6,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,27.0,C,4.13,4.13,4.13,4.13,1,7803,4.0,1132,4.2,17.84,17.84
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,27.0,C,4.1,4.1,4.1,4.1,5,8093,3.9,21,4.1,17.74,17.74
^VIX,2021-04-26 14:00:00,VIX,2021-11-17,30.0,C,3.36,3.36,3.36,3.36,12,19183,3.2,305,3.4,17.78,17.78
^VIX,2021-04-26 16:00:00,VIX,2021-11-17,30.0,C,3.3,3.3,3.3,3.3,2,22591,3.2,533,3.4,17.72,17.72
^VIX,2021-04-26 14:30:00,VIX,2021-11-17,40.0,C,1.92,1.92,1.92,1.92,1,4822,1.85,2581,2.0,17.79,17.79
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,45.0,P,21.7,21.7,21.7,21.7,1,2399,21.6,3250,21.9,17.84,17.84
^VIX,2021-04-26 14:30:00,VIX,2021-11-17,50.0,C,1.17,1.17,1.17,1.17,1,19219,1.1,532,1.25,17.79,17.79
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,70.0,C,0.55,0.55,0.55,0.55,10,8227,0.45,7558,0.6,17.74,17.74
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,70.0,C,0.55,0.55,0.55,0.55,8,8027,0.45,1096,0.55,17.72,17.72
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,85.0,C,0.3,0.3,0.3,0.3,1,27080,0.2,9536,0.35,17.72,17.72
^VIX,2021-04-26 11:30:00,VIX,2021-11-17,100.0,C,0.2,0.2,0.2,0.2,30,11621,0.1,11631,0.25,17.76,17.76
^VIX,2021-04-26 14:00:00,VIX,2021-11-17,120.0,C,0.1,0.1,0.1,0.1,6,2702,0.05,20762,0.15,17.78,17.78
