underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 15:30:00,VIX,2021-06-16,10.0,C,12.1,12.1,12.1,12.1,2,991,12.1,312,12.2,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,11.0,C,11.1,11.1,11.1,11.1,1,1648,11.0,1178,11.2,17.84,17.84
^VIX,2021-04-26 14:30:00,VIX,2021-06-16,14.0,P,0.05,0.05,0.05,0.05,260,0,0.0,58822,0.1,17.79,17.79
^VIX,2021-04-26 11:00:00,VIX,2021-06-16,15.0,C,7.15,7.15,7.15,7.15,1,6218,7.1,30916,7.3,17.74,17.74
^VIX,2021-04-26 12:00:00,VIX,2021-06-16,15.0,C,7.2,7.2,7.2,7.2,1,855,7.2,7579,7.3,17.79,17.79
^VIX,2021-04-26 13:00:00,VIX,2021-06-16,15.0,C,7.27,7.27,7.26,7.26,11,7836,7.2,33578,7.4,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-06-16,15.0,C,7.3,7.3,7.3,7.3,2,5666,7.2,33273,7.4,17.96,17.96
^VIX,2021-04-26 14:00:00,VIX,2021-06-16,15.0,C,7.2,7.2,7.2,7.2,1,28547,7.1,16005,7.3,17.78,17.78
^VIX,2021-04-26 10:30:00,VIX,2021-06-16,15.0,P,0.12,0.12,0.12,0.12,2000,18760,0.1,20505,0.15,17.75,17.75
^VIX,2021-04-26 12:00:00,VIX,2021-06-16,15.0,P,0.12,0.12,0.12,0.12,2,7668,0.1,45705,0.15,17.79,17.79
^VIX,2021-04-26 13:00:00,VIX,2021-06-16,15.0,P,0.12,0.12,0.12,0.12,1,5550,0.1,43748,0.15,17.93,17.93
^VIX,2021-04-26 16:00:00,VIX,2021-06-16,15.0,P,0.12,0.12,0.12,0.12,3,7869,0.1,23204,0.15,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,16.0,C,6.37,6.37,6.37,6.37,2,8659,6.3,1,6.4,17.84,17.84
^VIX,2021-04-26 14:00:00,VIX,2021-06-16,16.0,C,6.5,6.5,6.4,6.4,2,694,6.3,332,6.4,17.78,17.78
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,16.0,P,0.27,0.27,0.27,0.27,1002,5705,0.25,32388,0.3,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-06-16,16.0,P,0.27,0.27,0.27,0.27,2000,5525,0.25,25638,0.3,17.75,17.75
^VIX,2021-04-26 13:00:00,VIX,2021-06-16,16.0,P,0.25,0.25,0.25,0.25,2,32945,0.2,4,0.25,17.93,17.93
^VIX,2021-04-26 14:30:00,VIX,2021-06-16,16.0,P,0.25,0.25,0.25,0.25,9,37177,0.2,42664,0.3,17.79,17.79
^VIX,2021-04-26 16:00:00,VIX,2021-06-16,16.0,P,0.25,0.25,0.25,0.25,7,21,0.25,31965,0.3,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,17.0,C,5.6,5.6,5.6,5.6,2,31822,5.5,21599,5.7,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-06-16,17.0,C,5.5,5.5,5.5,5.5,22,10072,5.4,34790,5.6,17.75,17.75
^VIX,2021-04-26 11:30:00,VIX,2021-06-16,17.0,C,5.54,5.54,5.54,5.54,10,30385,5.4,14378,5.6,17.76,17.76
^VIX,2021-04-26 12:00:00,VIX,2021-06-16,17.0,C,5.6,5.6,5.6,5.6,10,29327,5.5,34013,5.7,17.79,17.79
^VIX,2021-04-26 13:00:00,VIX,2021-06-16,17.0,C,5.6,5.6,5.6,5.6,3,10,5.6,12611,5.7,17.93,17.93
^VIX,2021-04-26 14:00:00,VIX,2021-06-16,17.0,C,5.6,5.6,5.6,5.6,2,13181,5.5,33644,5.7,17.78,17.78
^VIX,2021-04-26 15:00:00,VIX,2021-06-16,17.0,C,5.6,5.6,5.6,5.6,10,466,5.5,7634,5.6,17.69,17.69
^VIX,2021-04-26 15:30:00,VIX,2021-06-16,17.0,C,5.4,5.4,5.4,5.4,1,320,5.6,13360,5.7,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-06-16,17.0,C,5.7,5.7,5.7,5.7,3,2836,5.5,9034,5.7,17.72,17.72
