underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,10.0,C,8.8,8.8,8.8,8.8,1,17,8.79,17,9.1,17.75,17.75
^VIX,2021-04-26 16:00:00,VIXW,2021-05-05,10.0,C,8.97,8.97,8.97,8.97,5,11,8.86,11,9.16,17.72,17.72
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,10.5,C,8.4,8.4,8.4,8.4,5,17,8.38,17,8.69,17.84,17.84
^VIX,2021-04-26 16:00:00,VIXW,2021-05-05,10.5,C,8.55,8.55,8.55,8.55,6,11,8.36,11,8.66,17.72,17.72
^VIX,2021-04-26 16:00:00,VIXW,2021-05-05,13.0,C,6.35,6.35,6.35,6.35,1,11,5.86,11,6.16,17.72,17.72
^VIX,2021-04-26 16:00:00,VIXW,2021-05-05,14.0,P,0.03,0.03,0.03,0.03,3,0,0.0,55,0.05,17.72,17.72
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,15.0,C,3.86,3.86,3.86,3.86,2,17,3.85,17,4.15,17.74,17.74
^VIX,2021-04-26 15:30:00,VIXW,2021-05-05,15.0,P,0.03,0.03,0.03,0.03,200,0,0.0,1566,0.05,17.72,17.72
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,16.0,C,2.93,2.93,2.93,2.93,7,17,2.92,72,3.2,17.74,17.74
^VIX,2021-04-26 13:30:00,VIXW,2021-05-05,16.0,C,2.98,2.98,2.98,2.98,2,17,3.1,17,3.39,17.96,17.96
^VIX,2021-04-26 14:30:00,VIXW,2021-05-05,16.0,C,3.15,3.15,3.15,3.15,1,14,3.01,14,3.3,17.79,17.79
^VIX,2021-04-26 15:00:00,VIXW,2021-05-05,16.0,C,3.17,3.17,3.04,3.04,36,14,2.92,93,3.2,17.69,17.69
^VIX,2021-04-26 15:30:00,VIXW,2021-05-05,16.0,C,2.99,2.99,2.99,2.99,3,14,3.09,560,3.3,17.72,17.72
^VIX,2021-04-26 16:00:00,VIXW,2021-05-05,16.0,C,3.4,3.4,3.1,3.1,4,11,2.94,93,3.2,17.72,17.72
