underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 16:00:00,VIX,2021-07-21,10.0,C,13.4,13.4,13.4,13.4,5,998,13.3,1639,13.5,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,11.0,C,12.4,12.4,12.4,12.4,1,220,12.4,4433,12.6,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,14.0,C,9.37,9.37,9.37,9.37,1,911,9.3,27532,9.5,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,14.0,P,0.07,0.07,0.07,0.07,2000,5060,0.05,58739,0.1,17.74,17.74
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,14.0,P,0.07,0.07,0.07,0.07,1000,8247,0.05,59046,0.1,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,14.0,P,0.07,0.07,0.07,0.07,2000,5783,0.05,58162,0.1,17.93,17.93
^VIX,2021-04-26 15:00:00,VIX,2021-07-21,14.0,P,0.08,0.08,0.08,0.08,100,10276,0.05,58087,0.1,17.69,17.69
^VIX,2021-04-26 15:00:00,VIX,2021-07-21,15.0,C,8.59,8.59,8.59,8.59,1,722,8.5,9152,8.7,17.69,17.69
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,15.0,P,0.16,0.17,0.16,0.17,15,708,0.15,55257,0.2,17.84,17.84
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,15.0,P,0.15,0.15,0.15,0.15,15,36562,0.1,51934,0.2,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-07-21,15.0,P,0.15,0.15,0.15,0.15,1,39943,0.1,51991,0.2,17.96,17.96
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,16.0,C,7.7,7.7,7.7,7.7,2,26306,7.5,1220,7.7,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,16.0,P,0.32,0.32,0.32,0.32,2000,7033,0.3,25578,0.35,17.74,17.74
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,16.0,P,0.32,0.32,0.32,0.32,1000,3547,0.3,48902,0.35,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,16.0,P,0.32,0.32,0.32,0.32,2000,36752,0.25,53972,0.35,17.93,17.93
^VIX,2021-04-26 14:30:00,VIX,2021-07-21,16.0,P,0.3,0.35,0.3,0.35,10000,666,0.3,46201,0.35,17.79,17.79
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,17.0,C,6.99,7.01,6.99,7.01,7,28748,6.9,19077,7.1,17.84,17.84
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,17.0,C,6.9,6.9,6.9,6.9,7,3,6.9,11460,7.0,17.74,17.74
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,17.0,C,6.9,6.9,6.9,6.9,3,31354,6.8,15969,7.0,17.76,17.76
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,17.0,C,7.1,7.1,7.1,7.1,1,16725,6.9,34557,7.1,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,17.0,C,7.02,7.02,7.02,7.02,2,25291,6.9,30797,7.1,17.93,17.93
^VIX,2021-04-26 15:00:00,VIX,2021-07-21,17.0,C,6.9,6.9,6.9,6.9,3,2596,6.9,422,7.0,17.69,17.69
^VIX,2021-04-26 15:30:00,VIX,2021-07-21,17.0,C,6.9,6.9,6.9,6.9,10,6801,6.9,34012,7.1,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-07-21,17.0,C,7.1,7.1,7.1,7.1,3,413,6.9,533,7.0,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,17.0,P,0.57,0.59,0.57,0.57,18,1470,0.55,42383,0.6,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,17.0,P,0.57,0.57,0.57,0.57,1,3116,0.55,21277,0.6,17.75,17.75
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,17.0,P,0.55,0.55,0.55,0.55,15,22176,0.5,52674,0.6,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-07-21,17.0,P,0.55,0.55,0.55,0.55,1,26978,0.5,53350,0.6,17.96,17.96
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,18.0,C,6.4,6.4,6.31,6.31,3,510,6.3,13166,6.4,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,18.0,C,6.2,6.2,6.2,6.2,4,24580,6.1,21734,6.3,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,18.0,C,6.3,6.3,6.2,6.2,16,1822,6.2,602,6.3,17.74,17.74
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,18.0,C,6.3,6.3,6.3,6.3,2,1401,6.2,675,6.3,17.76,17.76
^VIX,2021-04-26 13:00:00,VIX,2021-07-21,18.0,C,6.3,6.3,6.3,6.3,2,32015,6.2,14569,6.4,17.93,17.93
^VIX,2021-04-26 14:00:00,VIX,2021-07-21,18.0,C,6.3,6.3,6.3,6.3,100,13000,6.2,32592,6.4,17.78,17.78
^VIX,2021-04-26 15:00:00,VIX,2021-07-21,18.0,C,6.3,6.3,6.3,6.3,10,10373,6.2,32704,6.4,17.69,17.69
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,18.0,P,0.9,0.9,0.9,0.9,1,31556,0.85,31416,0.95,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,18.0,P,0.9,0.9,0.9,0.9,10,28428,0.85,48633,0.95,17.74,17.74
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,18.0,P,0.87,0.87,0.87,0.87,10,37549,0.8,27496,0.9,17.93,17.93
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,19.0,C,5.62,5.62,5.62,5.62,8,10604,5.6,424,5.7,17.76,17.76
^VIX,2021-04-26 15:30:00,VIX,2021-07-21,19.0,C,5.67,5.67,5.67,5.67,2,13978,5.6,16649,5.8,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,19.0,P,1.3,1.3,1.3,1.3,134,22650,1.25,40176,1.35,17.84,17.84
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,19.0,P,1.3,1.3,1.3,1.3,5,31703,1.25,21592,1.35,17.74,17.74
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,19.0,P,1.27,1.27,1.27,1.27,10,22,1.25,12278,1.3,17.93,17.93
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,20.0,C,5.2,5.2,5.2,5.2,36,641,5.2,27497,5.3,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,20.0,C,5.1,5.14,5.1,5.14,2,47357,5.0,32869,5.2,17.75,17.75
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,20.0,C,5.2,5.2,5.2,5.2,1,43638,5.1,32646,5.3,17.93,17.93
^VIX,2021-04-26 13:00:00,VIX,2021-07-21,20.0,C,5.1,5.1,5.1,5.1,1,45,5.2,33627,5.3,17.93,17.93
^VIX,2021-04-26 14:00:00,VIX,2021-07-21,20.0,C,5.2,5.2,5.2,5.2,20,32988,5.1,41748,5.3,17.78,17.78
^VIX,2021-04-26 14:30:00,VIX,2021-07-21,20.0,C,5.2,5.2,5.18,5.18,63,33555,5.1,32006,5.3,17.79,17.79
^VIX,2021-04-26 15:00:00,VIX,2021-07-21,20.0,C,5.2,5.2,5.2,5.2,24,30629,5.1,41526,5.3,17.69,17.69
^VIX,2021-04-26 16:00:00,VIX,2021-07-21,20.0,C,5.2,5.2,5.2,5.2,1,18282,5.1,41212,5.3,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,21.0,C,4.7,4.7,4.7,4.7,10,26926,4.7,38764,4.9,17.84,17.84
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,21.0,C,4.69,4.69,4.69,4.69,8,45362,4.6,23894,4.8,17.76,17.76
^VIX,2021-04-26 13:00:00,VIX,2021-07-21,21.0,C,4.8,4.8,4.7,4.7,138,26949,4.7,1107,4.8,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-07-21,21.0,C,4.8,4.8,4.79,4.8,18,24163,4.7,990,4.8,17.96,17.96
^VIX,2021-04-26 16:00:00,VIX,2021-07-21,21.0,C,4.77,4.77,4.77,4.77,7,33113,4.6,23217,4.8,17.72,17.72
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,22.0,C,4.31,4.31,4.31,4.31,2,43568,4.2,42103,4.4,17.75,17.75
^VIX,2021-04-26 14:00:00,VIX,2021-07-21,22.0,C,4.37,4.37,4.37,4.37,6,5165,4.3,15973,4.4,17.78,17.78
^VIX,2021-04-26 14:30:00,VIX,2021-07-21,22.0,C,4.37,4.37,4.37,4.37,2,18456,4.3,1775,4.4,17.79,17.79
^VIX,2021-04-26 15:00:00,VIX,2021-07-21,22.0,C,4.35,4.35,4.35,4.35,50,450,4.3,18666,4.4,17.69,17.69
^VIX,2021-04-26 16:00:00,VIX,2021-07-21,22.0,C,4.31,4.31,4.31,4.31,10,10,4.3,9000,4.4,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-07-21,22.0,P,2.9,2.9,2.9,2.9,1,4562,2.9,30891,3.0,17.72,17.72
