underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,15.0,P,0.05,0.05,0.05,0.05,1,75,0.01,3285,0.1,17.84,17.84
^VIX,2021-04-26 16:15:00,VIXW,2021-05-12,16.0,C,3.85,3.85,3.8,3.8,50,10,3.67,10,3.97,17.64,17.64
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,16.0,P,0.14,0.14,0.14,0.14,1,69,0.09,135,0.19,17.84,17.84
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,16.0,P,0.13,0.13,0.13,0.13,1,951,0.1,51,0.19,17.75,17.75
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,16.0,P,0.09,0.09,0.09,0.09,25,75,0.06,1019,0.15,17.69,17.69
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,17.0,C,3.24,3.24,3.16,3.16,29,16,2.99,16,3.26,17.78,17.78
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,17.0,P,0.34,0.34,0.34,0.34,1,842,0.3,71,0.4,17.84,17.84
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,17.0,P,0.38,0.38,0.35,0.35,4,1459,0.3,65,0.4,17.75,17.75
^VIX,2021-04-26 11:00:00,VIXW,2021-05-12,17.0,P,0.35,0.35,0.35,0.35,10,1,0.3,1247,0.4,17.74,17.74
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,17.0,P,0.4,0.4,0.4,0.4,6,1,0.3,718,0.4,17.76,17.76
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,17.0,P,0.3,0.3,0.3,0.3,1,63,0.24,783,0.35,17.69,17.69
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,18.0,C,2.42,2.42,2.42,2.42,1,19,2.37,18,2.63,17.84,17.84
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,18.0,C,2.45,2.45,2.45,2.45,1,18,2.32,18,2.56,17.76,17.76
^VIX,2021-04-26 12:00:00,VIXW,2021-05-12,18.0,C,2.5,2.5,2.5,2.5,2,18,2.36,18,2.6,17.79,17.79
^VIX,2021-04-26 12:30:00,VIXW,2021-05-12,18.0,C,2.6,2.6,2.58,2.6,41,19,2.4,18,2.64,17.93,17.93
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,18.0,C,2.49,2.54,2.49,2.54,41,16,2.34,16,2.59,17.78,17.78
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,18.0,C,2.31,2.31,2.31,2.31,2,16,2.27,17,2.52,17.69,17.69
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,18.0,C,2.52,2.52,2.52,2.52,2,16,2.39,16,2.63,17.72,17.72
^VIX,2021-04-26 16:00:00,VIXW,2021-05-12,18.0,C,2.75,2.75,2.45,2.55,23,13,2.28,1,2.45,17.72,17.72
^VIX,2021-04-26 16:15:00,VIXW,2021-05-12,18.0,C,2.3,2.3,2.3,2.3,1,10,2.26,10,2.5,17.64,17.64
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,18.0,P,0.65,0.65,0.65,0.65,1,54,0.58,40,0.72,17.69,17.69
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,19.0,C,2.0,2.05,2.0,2.05,4,19,1.92,57,2.15,17.84,17.84
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,19.0,C,2.09,2.09,2.09,2.09,20,1,1.96,32,2.09,17.78,17.78
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,19.0,C,2.02,2.02,2.02,2.02,1,1,1.96,65,2.1,17.79,17.79
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,19.0,C,1.96,1.96,1.96,1.96,1,51,1.9,16,2.12,17.72,17.72
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,20.0,C,1.59,1.7,1.59,1.68,12,581,1.6,36,1.79,17.84,17.84
^VIX,2021-04-26 12:30:00,VIXW,2021-05-12,20.0,C,1.65,1.65,1.65,1.65,5,18,1.58,25,1.7,17.93,17.93
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,20.0,C,1.56,1.56,1.56,1.56,5,32,1.54,25,1.7,17.72,17.72
