underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 10:30:00,VIX,2021-09-15,15.0,C,9.8,9.8,9.7,9.7,2,7954,9.6,292,9.8,17.75,17.75
^VIX,2021-04-26 11:30:00,VIX,2021-09-15,15.0,C,9.8,9.8,9.8,9.8,4,1789,9.7,27731,9.9,17.76,17.76
^VIX,2021-04-26 15:00:00,VIX,2021-09-15,15.0,C,9.8,9.8,9.8,9.8,40,8572,9.7,8312,9.9,17.69,17.69
^VIX,2021-04-26 16:00:00,VIX,2021-09-15,15.0,C,9.8,9.8,9.8,9.8,40,1504,9.7,28001,9.9,17.72,17.72
^VIX,2021-04-26 14:30:00,VIX,2021-09-15,15.0,P,0.3,0.3,0.3,0.3,1,46394,0.2,42066,0.3,17.79,17.79
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,16.0,C,9.1,9.1,9.1,9.1,1,1910,9.0,27310,9.2,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-09-15,17.0,C,8.2,8.2,8.2,8.2,1,5832,8.1,27843,8.3,17.75,17.75
^VIX,2021-04-26 11:30:00,VIX,2021-09-15,17.0,C,8.3,8.3,8.3,8.3,1,24769,8.1,9301,8.3,17.76,17.76
^VIX,2021-04-26 13:00:00,VIX,2021-09-15,17.0,P,0.68,0.68,0.68,0.68,5,49752,0.6,7940,0.7,17.93,17.93
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,18.0,C,7.6,7.7,7.6,7.7,39,1,7.6,2613,7.7,17.84,17.84
^VIX,2021-04-26 10:30:00,VIX,2021-09-15,18.0,C,7.7,7.7,7.6,7.6,7,26562,7.4,12167,7.6,17.75,17.75
^VIX,2021-04-26 11:00:00,VIX,2021-09-15,18.0,C,7.6,7.6,7.6,7.6,7,28075,7.4,25212,7.6,17.74,17.74
^VIX,2021-04-26 12:30:00,VIX,2021-09-15,18.0,C,7.7,7.7,7.7,7.7,9,23520,7.5,27197,7.7,17.93,17.93
^VIX,2021-04-26 12:30:00,VIX,2021-09-15,18.0,P,0.95,0.95,0.95,0.95,2,9167,0.95,35655,1.05,17.93,17.93
^VIX,2021-04-26 13:00:00,VIX,2021-09-15,18.0,P,0.98,0.98,0.98,0.98,5,16273,0.95,40057,1.05,17.93,17.93
^VIX,2021-04-26 15:30:00,VIX,2021-09-15,18.0,P,1.0,1.0,1.0,1.0,10,27975,0.95,36704,1.05,17.72,17.72
