underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,15.0,P,0.05,0.05,0.05,0.05,1,75,0.01,3285,0.1,17.84,17.84,0.17339292604965326,0.5413890125110917
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,40.0,C,0.3,0.3,0.3,0.3,5,422,0.2,96,0.29,17.84,17.84,-0.807436326962073,2.398758757729644
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,30.0,P,10.63,10.63,10.63,10.63,9,18,10.53,18,10.82,17.84,17.84,-0.519754254510292,
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,23.0,C,1.03,1.03,1.03,1.03,1,20,0.98,59,1.13,17.84,17.84,-0.25405108877728644,1.7229900462635968
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,20.0,P,1.95,1.95,1.95,1.95,27,51,1.81,36,1.99,17.84,17.84,-0.11428914640212766,
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,20.0,C,1.59,1.7,1.59,1.68,12,581,1.6,36,1.79,17.84,17.84,-0.11428914640212766,1.603829295521924
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,19.0,C,2.0,2.05,2.0,2.05,4,19,1.92,57,2.15,17.84,17.84,-0.06299585201457714,1.6552824522517027
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,18.0,C,2.42,2.42,2.42,2.42,1,19,2.37,18,2.63,17.84,17.84,-0.008928630744301431,1.6748365659530648
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,90.0,P,70.31,70.31,70.31,70.31,1,15,70.02,15,70.36,17.84,17.84,-1.6183665431784018,
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,16.0,P,0.14,0.14,0.14,0.14,1,69,0.09,135,0.19,17.84,17.84,0.10885440491208208,0.50650698195547
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,17.0,P,0.34,0.34,0.34,0.34,1,842,0.3,71,0.4,17.84,17.84,0.048229783095647155,0.46980988063942297
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,35.0,C,0.35,0.35,0.35,0.35,1,432,0.25,2537,0.35,17.75,17.75,-0.678962545567989,2.1982688261526238
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,17.0,P,0.38,0.38,0.35,0.35,4,1459,0.3,65,0.4,17.75,17.75,0.04317217186520878,0.47961053563333333
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,16.0,P,0.13,0.13,0.13,0.13,1,951,0.1,51,0.19,17.75,17.75,0.10379679368164356,0.47920907706773924
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,22.0,C,1.2,1.2,1.15,1.15,6,87,1.07,11,1.24,17.75,17.75,-0.21465693743689113,1.719432058685406
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,21.0,C,1.35,1.35,1.35,1.35,3,37,1.27,45,1.46,17.75,17.75,-0.1681369218019982,1.6568647724452117
^VIX,2021-04-26 11:00:00,VIXW,2021-05-12,25.0,C,0.79,0.79,0.79,0.79,3,21,0.71,12,0.83,17.74,17.74,-0.34305384798676747,1.8122391455498672
^VIX,2021-04-26 11:00:00,VIXW,2021-05-12,17.0,P,0.35,0.35,0.35,0.35,10,1,0.3,1247,0.4,17.74,17.74,0.04260863282521729,0.4543699934891829
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,17.0,P,0.4,0.4,0.4,0.4,6,1,0.3,718,0.4,17.76,17.76,0.04373539350780811,0.49714691628332397
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,18.0,C,2.45,2.45,2.45,2.45,1,18,2.32,18,2.56,17.76,17.76,-0.013423020332140548,1.7256525236537463
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,30.0,C,0.43,0.43,0.43,0.43,10,333,0.4,83,0.49,17.76,17.76,-0.5242486440981312,1.939279455324067
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,25.0,C,0.73,0.73,0.73,0.73,3,20,0.71,86,0.83,17.76,17.76,-0.3419270873041767,1.755366061674581
^VIX,2021-04-26 12:00:00,VIXW,2021-05-12,23.0,C,0.99,0.99,0.99,0.99,2,20,0.96,46,1.08,17.79,17.79,-0.25685771425140597,1.703558448369005
^VIX,2021-04-26 12:00:00,VIXW,2021-05-12,20.0,P,1.9,1.9,1.9,1.9,1,40,1.78,59,1.95,17.79,17.79,-0.11709577187624727,
^VIX,2021-04-26 12:00:00,VIXW,2021-05-12,18.0,C,2.5,2.5,2.5,2.5,2,18,2.36,18,2.6,17.79,17.79,-0.011735256218420965,1.7482793316182474
^VIX,2021-04-26 12:30:00,VIXW,2021-05-12,20.0,C,1.65,1.65,1.65,1.65,5,18,1.58,25,1.7,17.93,17.93,-0.10925698593694952,1.6178990146552195
^VIX,2021-04-26 12:30:00,VIXW,2021-05-12,18.0,C,2.6,2.6,2.58,2.6,41,19,2.4,18,2.64,17.93,17.93,-0.003896470279123235,1.7624553341030624
^VIX,2021-04-26 13:30:00,VIXW,2021-05-12,21.0,C,1.35,1.35,1.35,1.35,2,20,1.31,19,1.48,17.96,17.96,-0.15637537484936945,1.6007125426440287
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,17.0,C,3.24,3.24,3.16,3.16,29,16,2.99,16,3.26,17.78,17.78,0.044860886029542454,1.960690452083327
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,19.0,C,2.09,2.09,2.09,2.09,20,1,1.96,32,2.09,17.78,17.78,-0.06636474908068185,1.7359046846616524
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,18.0,C,2.49,2.54,2.49,2.54,41,16,2.34,16,2.59,17.78,17.78,-0.012297527810406083,1.7452854111164129
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,19.0,C,2.02,2.02,2.02,2.02,1,1,1.96,65,2.1,17.79,17.79,-0.06580247748869668,1.685426250908466
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,27.0,C,0.56,0.56,0.56,0.56,20,24,0.52,55,0.64,17.79,17.79,-0.41720036432658536,1.8058881577749024
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,25.0,C,0.73,0.73,0.73,0.73,20,21,0.68,46,0.81,17.79,17.79,-0.34023932319045697,1.749279737933333
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,60.0,C,0.01,0.01,0.01,0.01,30,0,0.0,1790,0.09,17.79,17.79,-1.2157080605443569,2.0615586146921676
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,21.0,C,1.27,1.27,1.27,1.27,1,16,1.22,38,1.39,17.69,17.69,-0.17152292955172901,1.6158794680120132
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,16.0,P,0.09,0.09,0.09,0.09,25,75,0.06,1019,0.15,17.69,17.69,0.10041078593191274,0.4174060951974055
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,29.0,C,0.47,0.47,0.47,0.47,4,1189,0.4,65,0.5,17.69,17.69,-0.49429632181477995,1.9136910123188293
