underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,19.0,C,1.44,1.44,1.31,1.31,26,17,1.22,11,1.42,17.84,17.84,-0.06299585201457714,1.706943031693053
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,24.0,C,0.46,0.49,0.46,0.48,4,279,0.45,80,0.56,17.84,17.84,-0.29661070319608235,1.8249732550799052
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,16.0,P,0.1,0.1,0.1,0.1,50,2213,0.05,11,0.13,17.84,17.84,0.10885440491208208,0.6056883074205514
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,25.0,C,0.4,0.4,0.4,0.4,10,13,0.4,72,0.49,17.84,17.84,-0.33743269771633744,1.8934846569987294
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,17.0,P,0.3,0.3,0.3,0.3,51,2122,0.25,20,0.35,17.84,17.84,0.048229783095647155,0.5828346782461166
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,27.0,C,0.35,0.35,0.35,0.35,1,20,0.3,56,0.37,17.84,17.84,-0.4143937388524658,2.086144371264785
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,18.0,C,1.65,1.71,1.65,1.65,16,17,1.6,34,1.84,17.84,17.84,-0.008928630744301431,1.5411255805529667
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,21.0,C,0.85,0.85,0.85,0.85,2,2,0.8,19,0.9,17.84,17.84,-0.1630793105715596,1.696126147079788
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,18.0,P,0.75,0.75,0.75,0.75,10,2136,0.65,17,0.78,17.84,17.84,-0.008928630744301431,0.5977277409320935
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,30.0,C,0.27,0.27,0.27,0.27,1,45,0.18,86,0.27,17.84,17.84,-0.519754254510292,2.2835665282037674
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,40.0,C,0.1,0.1,0.1,0.1,20,22,0.07,2178,0.14,17.84,17.84,-0.807436326962073,2.61316262550412
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,10.5,C,8.4,8.4,8.4,8.4,5,17,8.38,17,8.69,17.84,17.84,0.5300678699883857,4.222667583371371
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,20.0,C,1.05,1.1,0.33,0.86,27,18,0.96,13,1.13,17.84,17.84,-0.11428914640212766,1.642708686765114
^VIX,2021-04-26 10:00:00,VIXW,2021-05-05,17.0,C,2.4,2.4,2.32,2.32,10,17,2.18,17,2.46,17.84,17.84,0.048229783095647155,1.7912546561830751
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,17.0,C,2.26,2.26,2.26,2.26,5,17,2.08,35,2.36,17.75,17.75,0.04317217186520878,1.7121103595178362
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,21.0,C,0.8,0.8,0.8,0.8,2,3,0.75,53,0.87,17.75,17.75,-0.1681369218019982,1.6738660494252742
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,17.0,P,0.3,0.3,0.3,0.3,21,661,0.3,19,0.34,17.75,17.75,0.04317217186520878,0.5556601630627487
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,20.0,C,0.89,1.07,0.89,0.96,19,18,0.89,136,1.05,17.75,17.75,-0.11934675763256625,1.5216576153511958
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,19.0,C,1.25,1.25,1.25,1.25,2,1,1.16,673,1.3,17.75,17.75,-0.06805346324501564,1.5718082198460988
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,18.0,C,1.58,1.65,1.58,1.6,3,17,1.51,55,1.75,17.75,17.75,-0.01398624197473984,1.5210286489979485
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,10.0,C,8.8,8.8,8.8,8.8,1,17,8.79,17,9.1,17.75,17.75,0.5738004229273791,4.463895665397281
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,35.0,C,0.12,0.12,0.12,0.12,2,13,0.12,1125,0.15,17.75,17.75,-0.678962545567989,2.359086066831857
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,50.0,C,0.04,0.04,0.04,0.04,12,0,0.0,1809,0.05,17.75,17.75,-1.0356374895067213,2.7998768449397966
^VIX,2021-04-26 10:30:00,VIXW,2021-05-05,26.0,C,0.38,0.38,0.38,0.38,2,21,0.28,79,0.38,17.75,17.75,-0.3817110221000572,2.024202906714228
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,17.0,C,2.28,2.28,2.28,2.28,1,17,2.13,34,2.39,17.74,17.74,0.04260863282521729,1.7366920224402744
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,19.0,C,1.16,1.16,1.16,1.16,51,17,1.17,34,1.36,17.74,17.74,-0.06861700228500715,1.4937448141062368
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,21.0,P,2.8,2.8,2.8,2.8,1,226,2.75,17,2.92,17.74,17.74,-0.1687004608419896,
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,19.0,P,1.35,1.35,1.35,1.35,1,36,1.21,17,1.38,17.74,17.74,-0.06861700228500715,0.4242230587218721
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,25.0,C,0.34,0.38,0.34,0.37,65,26,0.32,42,0.42,17.74,17.74,-0.34305384798676747,1.8263722759186987
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,17.0,P,0.25,0.25,0.25,0.25,10,1367,0.25,19,0.34,17.74,17.74,0.04260863282521729,0.49990471570722617
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,20.0,C,0.89,1.0,0.89,1.0,257,58,0.95,36,1.06,17.74,17.74,-0.11991029667255768,1.5250634469534747
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,21.0,C,0.85,0.85,0.8,0.8,101,3,0.75,71,0.85,17.74,17.74,-0.1687004608419896,1.7278788851597493
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,29.0,C,0.2,0.2,0.2,0.2,1,85,0.16,4,0.2,17.74,17.74,-0.4914738531050407,2.0502819372070475
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,16.0,C,2.93,2.93,2.93,2.93,7,17,2.92,72,3.2,17.74,17.74,0.1032332546416521,1.8371895360469583
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,22.0,P,3.78,3.78,3.78,3.78,17,161,3.6,17,3.78,17.74,17.74,-0.21522047647688253,
^VIX,2021-04-26 11:00:00,VIXW,2021-05-05,15.0,C,3.86,3.86,3.86,3.86,2,17,3.85,17,4.15,17.74,17.74,0.16777177577922325,2.1834422125089477
^VIX,2021-04-26 11:30:00,VIXW,2021-05-05,29.0,C,0.2,0.2,0.2,0.2,4,85,0.16,22,0.25,17.76,17.76,-0.4903470924224499,2.0463480321589484
^VIX,2021-04-26 11:30:00,VIXW,2021-05-05,20.0,C,0.95,1.02,0.9,1.02,61,61,0.9,2,1.0,17.76,17.76,-0.11878353598996685,1.575917069455697
^VIX,2021-04-26 11:30:00,VIXW,2021-05-05,17.0,C,2.33,2.33,2.33,2.33,1,17,2.14,130,2.4,17.76,17.76,0.04373539350780811,1.7720883219797297
^VIX,2021-04-26 11:30:00,VIXW,2021-05-05,18.0,C,1.69,1.69,1.65,1.65,3,17,1.56,34,1.78,17.76,17.76,-0.013423020332140548,1.6154089322903555
^VIX,2021-04-26 11:30:00,VIXW,2021-05-05,17.0,P,0.25,0.25,0.25,0.25,3,40,0.22,19,0.34,17.76,17.76,0.04373539350780811,0.5058432823133436
^VIX,2021-04-26 12:00:00,VIXW,2021-05-05,20.0,P,1.98,1.98,1.98,1.98,3,867,1.85,17,2.04,17.79,17.79,-0.11709577187624727,
^VIX,2021-04-26 12:00:00,VIXW,2021-05-05,25.0,C,0.36,0.36,0.36,0.36,1,26,0.32,23,0.42,17.79,17.79,-0.34023932319045697,1.8457084785680042
^VIX,2021-04-26 12:00:00,VIXW,2021-05-05,21.0,C,0.8,0.8,0.8,0.8,3,3,0.75,2,0.8,17.79,17.79,-0.16588593604567928,1.6613467999596823
