underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,24.0,P,4.3,4.3,4.3,4.3,1,11514,4.2,32977,4.3,17.84,17.84,-0.29661070319608235,
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,21.0,C,5.42,5.42,5.42,5.42,1,35580,5.3,35261,5.5,17.84,17.84,-0.1630793105715596,1.6433924328325464
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,70.0,C,0.5,0.5,0.5,0.5,1,24876,0.45,3295,0.5,17.84,17.84,-1.3670521148974957,1.4417088713140689
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,23.0,C,4.65,4.65,4.65,4.65,2,23,4.6,33855,4.7,17.84,17.84,-0.25405108877728644,1.572749063950871
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,32.5,C,2.49,2.5,2.49,2.5,1020,6534,2.45,43005,2.55,17.84,17.84,-0.5997969621838284,1.4464682157336022
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,35.0,C,2.2,2.2,2.14,2.15,11,30972,2.1,4504,2.2,17.84,17.84,-0.6739049343375504,1.4472964284457661
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,65.0,C,0.6,0.6,0.6,0.6,195,18833,0.55,3241,0.6,17.84,17.84,-1.2929441427437738,1.4411690972794104
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,19.0,C,6.3,6.3,6.3,6.3,3,31157,6.3,16813,6.5,17.84,17.84,-0.06299585201457714,1.730677717169129
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,40.0,C,1.65,1.65,1.65,1.65,10,2485,1.65,645,1.7,17.84,17.84,-0.807436326962073,1.4230386534377182
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,22.0,P,2.94,2.94,2.94,2.94,1,14452,2.9,37172,3.0,17.84,17.84,-0.20959932620645252,
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,27.0,C,3.5,3.5,3.5,3.5,20,39489,3.4,34587,3.6,17.84,17.84,-0.4143937388524658,1.4910574629067033
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,18.0,C,7.0,7.0,7.0,7.0,1,31672,6.9,16242,7.1,17.84,17.84,-0.008928630744301431,1.8439519674570484
^VIX,2021-04-26 10:00:00,VIX,2021-08-18,17.0,P,0.64,0.64,0.64,0.64,5,16011,0.6,40333,0.7,17.84,17.84,0.048229783095647155,0.267727782062983
