underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,23.0,C,2.9,2.9,2.9,2.9,2,36233,2.85,5889,2.95,17.84,17.84,-0.25405108877728644,1.696908099918821
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,18.0,C,5.0,5.0,5.0,5.0,6,3478,4.9,2019,5.0,17.84,17.84,-0.008928630744301431,1.9372217655518267
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,22.0,C,3.18,3.18,3.1,3.18,11,45780,3.1,42966,3.3,17.84,17.84,-0.20959932620645252,1.7089669604632949
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,37.5,C,1.1,1.1,1.1,1.1,8,16538,1.05,21,1.1,17.84,17.84,-0.7428978058245018,1.775926319216519
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,25.0,C,2.45,2.45,2.4,2.4,40,18625,2.4,28707,2.5,17.84,17.84,-0.33743269771633744,1.6908493581863082
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,18.0,P,0.82,0.82,0.82,0.82,1000,29897,0.8,50362,0.9,17.84,17.84,-0.008928630744301431,0.28400050283814754
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,35.0,C,1.26,1.27,1.25,1.25,6,34898,1.2,32536,1.3,17.84,17.84,-0.6739049343375504,1.7554312253271485
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,19.0,C,4.38,4.4,4.3,4.4,4,32436,4.3,40399,4.5,17.84,17.84,-0.06299585201457714,1.8284064484690317
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,32.5,C,1.45,1.46,1.42,1.46,69,16829,1.4,29994,1.5,17.84,17.84,-0.5997969621838284,1.7314953691319532
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,26.0,C,2.25,2.25,2.25,2.25,30,36323,2.2,26186,2.3,17.84,17.84,-0.3766534108696188,1.6868159547887032
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,17.0,P,0.49,0.5,0.49,0.49,1105,37833,0.45,50208,0.55,17.84,17.84,0.048229783095647155,0.33089466832834363
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,21.0,P,2.44,2.44,2.44,2.44,1,33014,2.35,7294,2.45,17.84,17.84,-0.1630793105715596,
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,20.0,C,3.9,4.0,3.9,3.94,31,51472,3.8,42447,4.0,17.84,17.84,-0.11428914640212766,1.7670279110913
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,30.0,C,1.72,1.72,1.65,1.7,36,15496,1.65,34134,1.75,17.84,17.84,-0.519754254510292,1.7212620723219336
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,29.0,P,8.7,8.7,8.7,8.7,4,35258,8.6,44516,8.8,17.84,17.84,-0.4858527028346108,
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,29.0,C,1.85,1.85,1.82,1.82,4,38898,1.75,24791,1.85,17.84,17.84,-0.4858527028346108,1.719032486444783
^VIX,2021-04-26 10:00:00,VIX,2021-06-16,27.0,C,2.1,2.1,2.1,2.1,199,13647,2.05,32919,2.15,17.84,17.84,-0.4143937388524658,1.6961390499567932
