underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,10.0,C,14.8,14.8,14.8,14.8,1,709,14.7,3414,15.0,17.84,17.84,0.5788580341578177,3.4290533339253018
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,47.5,P,24.0,24.0,24.0,24.0,1,25958,23.9,28320,24.1,17.84,17.84,-0.9792865838887321,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,45.0,P,21.6,21.6,21.6,21.6,1,3863,21.6,29147,21.8,17.84,17.84,-0.9252193626184565,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,45.0,C,1.65,1.65,1.65,1.65,2,30929,1.55,7645,1.65,17.84,17.84,-0.9252193626184565,1.2290789820648023
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,40.0,C,2.05,2.05,2.0,2.0,11,33926,1.95,29908,2.1,17.84,17.84,-0.807436326962073,1.2341684714822512
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,37.5,C,2.32,2.32,2.32,2.32,3,25369,2.25,5519,2.35,17.84,17.84,-0.7428978058245018,1.242871258234831
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,35.0,P,12.9,12.9,12.9,12.9,1,29283,12.6,15525,12.8,17.84,17.84,-0.6739049343375504,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,35.0,C,2.65,2.65,2.65,2.65,384,27646,2.55,18202,2.7,17.84,17.84,-0.6739049343375504,1.2566249563231926
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,29.0,C,3.5,3.72,3.5,3.72,4,33393,3.6,30131,3.8,17.84,17.84,-0.4858527028346108,1.2632935140369068
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,27.0,C,4.1,4.1,4.1,4.1,4,30576,4.1,30145,4.3,17.84,17.84,-0.4143937388524658,1.3151570776835397
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,26.0,P,5.58,5.58,5.58,5.58,10,31701,5.5,30343,5.7,17.84,17.84,-0.3766534108696188,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,25.0,P,4.8,4.9,4.8,4.89,5,32037,4.8,30430,5.0,17.84,17.84,-0.33743269771633744,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,25.0,C,4.8,4.8,4.8,4.8,25,35075,4.6,4366,4.8,17.84,17.84,-0.33743269771633744,1.3788293384621382
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,24.0,P,4.2,4.2,4.2,4.2,35,35823,4.1,30008,4.3,17.84,17.84,-0.29661070319608235,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,24.0,C,5.05,5.05,5.05,5.05,1,31346,5.0,29962,5.2,17.84,17.84,-0.29661070319608235,1.3871279482135606
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,20.0,P,1.9,1.9,1.9,1.9,2,32211,1.85,4458,1.95,17.84,17.84,-0.11428914640212766,
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,26.0,C,4.3,4.42,4.3,4.42,6,35954,4.3,4540,4.5,17.84,17.84,-0.3766534108696188,1.3176707008657513
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,20.0,C,6.8,6.8,6.8,6.8,2,24612,6.7,32762,6.9,17.84,17.84,-0.11428914640212766,1.5574824974927415
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,16.0,C,9.3,9.3,9.3,9.3,1,6991,9.2,8319,9.5,17.84,17.84,0.10885440491208208,1.9005265248958498
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,15.0,C,10.08,10.08,10.08,10.08,100,23868,10.0,27105,10.3,17.84,17.84,0.17339292604965326,2.03889966195406
^VIX,2021-04-26 10:00:00,VIX,2021-10-20,17.0,P,0.75,0.75,0.75,0.75,1,33423,0.7,8464,0.8,17.84,17.84,0.048229783095647155,0.2430341943903352
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,30.0,P,8.6,8.61,8.6,8.61,5,7019,8.6,29676,8.8,17.75,17.75,-0.5248118657407306,
^VIX,2021-04-26 10:30:00,VIX,2021-10-20,25.0,P,4.8,4.8,4.8,4.8,6,1,4.9,14850,5.0,17.75,17.75,-0.342490308946776,
