underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,11.0,C,12.4,12.4,12.4,12.4,1,220,12.4,4433,12.6,17.84,17.84,0.4835478543534928,3.492251495457068
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,45.0,C,1.1,1.1,1.1,1.1,6,48654,1.05,19093,1.15,17.84,17.84,-0.9252193626184565,1.5578411664804168
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,15.0,P,0.16,0.17,0.16,0.17,15,708,0.15,55257,0.2,17.84,17.84,0.17339292604965326,0.319683957983693
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,30.0,C,2.47,2.5,2.45,2.5,1017,11,2.45,15391,2.5,17.84,17.84,-0.519754254510292,1.5581432251665286
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,27.0,C,3.1,3.1,3.1,3.1,1,22651,2.95,39876,3.1,17.84,17.84,-0.4143937388524658,1.601914943916802
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,25.0,C,3.58,3.58,3.4,3.5,259,33853,3.4,42875,3.6,17.84,17.84,-0.33743269771633744,1.6296956946311238
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,65.0,C,0.45,0.45,0.45,0.45,1,28991,0.4,1197,0.45,17.75,17.75,-1.2980017539742124,1.5705738240709812
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,35.0,C,1.85,1.85,1.85,1.85,1,24253,1.7,24070,1.8,17.75,17.75,-0.678962545567989,1.5638397265862223
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,20.0,C,5.1,5.14,5.1,5.14,2,47357,5.0,32869,5.2,17.75,17.75,-0.11934675763256625,1.7310765986855468
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,14.0,C,9.37,9.37,9.37,9.37,1,911,9.3,27532,9.5,17.75,17.75,0.23732818630616614,2.5475465111342324
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,29.0,P,8.2,8.2,8.2,8.2,3,310,8.2,25446,8.3,17.75,17.75,-0.4909103140650493,
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,26.0,C,3.2,3.2,3.2,3.2,5,14689,3.1,13122,3.2,17.75,17.75,-0.3817110221000572,1.5891446371109117
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,22.0,C,4.31,4.31,4.31,4.31,2,43568,4.2,42103,4.4,17.75,17.75,-0.21465693743689113,1.6564431799060468
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,29.0,C,2.5,2.5,2.5,2.5,9,10101,2.5,21822,2.6,17.75,17.75,-0.4909103140650493,1.5329565458018297
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,60.0,C,0.55,0.55,0.55,0.55,100,14621,0.5,3686,0.55,17.75,17.75,-1.217959046300676,1.5666544412275427
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,18.0,P,0.9,0.9,0.9,0.9,1,31556,0.85,31416,0.95,17.75,17.75,-0.01398624197473984,0.23286562418370463
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,24.0,C,3.64,3.64,3.64,3.64,1,20496,3.6,2485,3.7,17.75,17.75,-0.30166831442652076,1.5983668715566257
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,23.0,C,4.0,4.0,4.0,4.0,1,17237,3.9,2152,4.0,17.75,17.75,-0.2591087000077249,1.6370362765182562
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,18.0,C,6.2,6.2,6.2,6.2,4,24580,6.1,21734,6.3,17.75,17.75,-0.01398624197473984,1.8847925836633244
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,25.0,C,3.52,3.52,3.39,3.4,198,48322,3.3,42373,3.5,17.75,17.75,-0.342490308946776,1.6250194256232326
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,40.0,C,1.42,1.42,1.34,1.35,233,4649,1.3,2442,1.35,17.75,17.75,-0.8124939381925116,1.5657067247261747
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,17.0,P,0.57,0.57,0.57,0.57,1,3116,0.55,21277,0.6,17.75,17.75,0.04317217186520878,0.2739634154544627
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,30.0,C,2.45,2.45,2.45,2.45,4,4046,2.35,45691,2.45,17.75,17.75,-0.5248118657407306,1.5624549617960517
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,16.0,C,7.7,7.7,7.7,7.7,2,26306,7.5,1220,7.7,17.75,17.75,0.10379679368164356,2.1697117668902854
