underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,10.0,C,8.25,8.25,8.25,8.25,5,16,8.19,16,8.51,17.84,17.84,0.5788580341578177,6.802325283116587
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,18.0,P,0.54,0.54,0.45,0.5,28,789,0.42,32,0.59,17.84,17.84,-0.008928630744301431,0.8626012005087265
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,19.0,P,1.15,1.15,1.15,1.15,50,22,1.02,16,1.25,17.84,17.84,-0.06299585201457714,
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,20.0,C,0.34,0.38,0.25,0.29,36,44,0.25,157,0.35,17.84,17.84,-0.11428914640212766,1.968752796748805
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,18.0,C,0.86,0.95,0.75,0.84,30,16,0.73,911,0.95,17.84,17.84,-0.008928630744301431,1.7721742966443799
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,20.0,P,2.05,2.05,2.05,2.05,1,16,1.81,16,2.07,17.84,17.84,-0.11428914640212766,
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,21.0,C,0.21,0.21,0.21,0.21,10,44,0.14,69,0.24,17.84,17.84,-0.1630793105715596,2.0447698247683608
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,17.0,P,0.18,0.19,0.12,0.12,12,789,0.09,44,0.19,17.84,17.84,0.048229783095647155,0.9529996600126064
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,22.0,C,0.12,0.14,0.1,0.12,24,54,0.09,12,0.17,17.84,17.84,-0.20959932620645252,2.072999631607899
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,24.0,C,0.09,0.09,0.05,0.05,26,63,0.05,13,0.12,17.84,17.84,-0.29661070319608235,2.5104699917661115
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,17.0,C,1.56,1.56,1.43,1.43,3,16,1.34,20,1.63,17.84,17.84,0.048229783095647155,2.1174332440073087
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,25.0,C,0.1,0.1,0.07,0.1,30,24,0.04,1474,0.1,17.84,17.84,-0.33743269771633744,2.8304243198484014
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,19.0,C,0.46,0.5,0.42,0.42,44,18,0.4,12,0.5,17.84,17.84,-0.06299585201457714,1.7045441271266775
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,15.0,C,3.34,3.34,3.34,3.34,10,18,3.2,16,3.52,17.84,17.84,0.17339292604965326,3.1367714990865347
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,26.0,C,0.04,0.04,0.04,0.04,1,25,0.03,2188,0.1,17.84,17.84,-0.3766534108696188,2.606832974726316
^VIX,2021-04-26 10:00:00,VIXW,2021-04-28,16.0,P,0.05,0.05,0.03,0.03,23,0,0.0,246,0.05,17.84,17.84,0.10885440491208208,1.060851016827876
^VIX,2021-04-26 10:30:00,VIXW,2021-04-28,19.0,C,0.37,0.42,0.37,0.38,35,1288,0.3,19,0.42,17.75,17.75,-0.06805346324501564,1.573088224233045
^VIX,2021-04-26 10:30:00,VIXW,2021-04-28,18.0,C,0.74,0.74,0.67,0.7,58,10,0.65,48,0.8,17.75,17.75,-0.01398624197473984,1.627482682450448
^VIX,2021-04-26 10:30:00,VIXW,2021-04-28,17.0,P,0.15,0.17,0.1,0.1,19,38,0.1,21,0.18,17.75,17.75,0.04317217186520878,0.8264991682459327
^VIX,2021-04-26 10:30:00,VIXW,2021-04-28,30.0,C,0.01,0.01,0.01,0.01,5,0,0.0,2098,0.05,17.75,17.75,-0.5248118657407306,2.84668030349005
^VIX,2021-04-26 10:30:00,VIXW,2021-04-28,19.0,P,1.27,1.27,1.27,1.27,50,15,1.08,14,1.32,17.75,17.75,-0.06805346324501564,0.59584729851373
