underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,26.0,C,4.1,4.21,4.1,4.21,3,41541,4.1,35975,4.3,17.84,17.84,-0.3766534108696188,1.4276978998793473
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,21.0,C,6.0,6.0,6.0,6.0,1,34328,5.9,34407,6.1,17.84,17.84,-0.1630793105715596,1.6083344644599538
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,23.0,P,3.5,3.5,3.5,3.5,10,46370,3.4,37505,3.6,17.84,17.84,-0.25405108877728644,
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,24.0,C,4.7,4.79,4.7,4.79,27,40693,4.7,34479,4.9,17.84,17.84,-0.29661070319608235,1.4705181213256775
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,24.0,P,4.1,4.1,4.1,4.1,1,19596,4.1,4613,4.2,17.84,17.84,-0.29661070319608235,
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,25.0,P,4.9,4.9,4.84,4.84,35,458,4.8,32386,4.9,17.84,17.84,-0.33743269771633744,
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,20.0,C,6.5,6.51,6.4,6.51,5,33061,6.4,39822,6.6,17.84,17.84,-0.11428914640212766,1.6666518152393803
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,26.0,P,5.56,5.56,5.56,5.56,2,7641,5.5,31268,5.6,17.84,17.84,-0.3766534108696188,
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,27.0,C,3.95,3.95,3.95,3.95,5,7711,3.9,6904,4.0,17.84,17.84,-0.4143937388524658,1.43615890876412
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,32.5,P,10.8,10.8,10.8,10.8,1,8457,10.6,223,10.7,17.84,17.84,-0.5997969621838284,
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,29.0,C,3.4,3.4,3.4,3.4,1,41975,3.4,38822,3.6,17.84,17.84,-0.4858527028346108,1.3893065462693819
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,35.0,C,2.48,2.48,2.48,2.48,10,40407,2.4,22,2.5,17.84,17.84,-0.6739049343375504,1.363764373334164
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,40.0,C,2.0,2.0,2.0,2.0,1,45193,1.85,1609,1.95,17.84,17.84,-0.807436326962073,1.3663808449576598
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,47.5,P,24.2,24.2,24.2,24.2,1,3297,24.1,29751,24.3,17.84,17.84,-0.9792865838887321,
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,16.0,C,9.1,9.1,9.1,9.1,1,1910,9.0,27310,9.2,17.84,17.84,0.10885440491208208,2.0645454174848648
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,50.0,C,1.25,1.25,1.25,1.25,1,18412,1.2,25,1.25,17.84,17.84,-1.0305798782762827,1.34069028001463
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,60.0,C,0.85,0.85,0.85,0.85,2,17197,0.8,1653,0.85,17.84,17.84,-1.2129014350702374,1.3392760011406524
^VIX,2021-04-26 10:00:00,VIX,2021-09-15,75.0,C,0.5,0.5,0.5,0.5,8,17024,0.45,3647,0.5,17.84,17.84,-1.436044986384447,1.335717897865099
