underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,45.0,P,21.7,21.7,21.7,21.7,1,2399,21.6,3250,21.9,17.84,17.84,-0.9252193626184565,
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,25.0,C,4.7,4.7,4.7,4.7,2,5254,4.6,1420,4.8,17.84,17.84,-0.33743269771633744,1.2611643812534885
^VIX,2021-04-26 10:00:00,VIX,2021-11-17,27.0,C,4.13,4.13,4.13,4.13,1,7803,4.0,1132,4.2,17.84,17.84,-0.4143937388524658,1.2265832847997198
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,70.0,C,0.55,0.55,0.55,0.55,10,8227,0.45,7558,0.6,17.74,17.74,-1.3726732651679256,1.0982909763120952
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,25.0,C,4.65,4.65,4.65,4.65,5,6113,4.5,2361,4.7,17.74,17.74,-0.34305384798676747,1.2620842003063535
^VIX,2021-04-26 11:00:00,VIX,2021-11-17,27.0,C,4.1,4.1,4.1,4.1,5,8093,3.9,21,4.1,17.74,17.74,-0.42001488912289575,1.2304684334916658
^VIX,2021-04-26 11:30:00,VIX,2021-11-17,100.0,C,0.2,0.2,0.2,0.2,30,11621,0.1,11631,0.25,17.76,17.76,-1.7282214484240672,1.0863366013734568
^VIX,2021-04-26 12:00:00,VIX,2021-11-17,19.0,P,1.5,1.5,1.5,1.5,5,7968,1.45,32,1.55,17.79,17.79,-0.06580247748869668,0.16074054512285244
^VIX,2021-04-26 14:00:00,VIX,2021-11-17,30.0,C,3.36,3.36,3.36,3.36,12,19183,3.2,305,3.4,17.78,17.78,-0.5231231515763969,1.1810673272450265
^VIX,2021-04-26 14:00:00,VIX,2021-11-17,120.0,C,0.1,0.1,0.1,0.1,6,2702,0.05,20762,0.15,17.78,17.78,-1.9094175126962876,1.0664951304143517
^VIX,2021-04-26 14:30:00,VIX,2021-11-17,40.0,C,1.92,1.92,1.92,1.92,1,4822,1.85,2581,2.0,17.79,17.79,-0.8102429524361926,1.1212723277021208
^VIX,2021-04-26 14:30:00,VIX,2021-11-17,50.0,C,1.17,1.17,1.17,1.17,1,19219,1.1,532,1.25,17.79,17.79,-1.0333865037504022,1.0957577968287726
^VIX,2021-04-26 15:00:00,VIX,2021-11-17,23.0,C,5.23,5.23,5.23,5.23,10,22310,5.1,466,5.3,17.69,17.69,-0.26249470775745565,1.2967268659720645
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,19.0,P,1.55,1.55,1.55,1.55,15,4069,1.5,39,1.6,17.72,17.72,-0.06974503398950563,0.16143569626852852
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,70.0,C,0.55,0.55,0.55,0.55,8,8027,0.45,1096,0.55,17.72,17.72,-1.3738012968724242,1.0991634876246503
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,85.0,C,0.3,0.3,0.3,0.3,1,27080,0.2,9536,0.35,17.72,17.72,-1.5679573113133816,1.078367163136202
^VIX,2021-04-26 15:30:00,VIX,2021-11-17,25.0,C,4.5,4.5,4.5,4.5,2,22144,4.4,514,4.6,17.72,17.72,-0.3441818796912659,1.2356790891492413
^VIX,2021-04-26 16:00:00,VIX,2021-11-17,30.0,C,3.3,3.3,3.3,3.3,2,22591,3.2,533,3.4,17.72,17.72,-0.5265034364852205,1.1747047064024045
^VIX,2021-04-26 16:15:00,VIX,2021-11-17,18.0,P,1.15,1.15,1.15,1.15,15,150,1.1,1,1.2,17.64,17.64,-0.020202707317519466,0.19701635600144532
